pet_id,start,end,duration_sec
boundary_1_3_multiplier_tibetan_07,2026-01-01 17:51:14,2026-01-01 17:51:16.346829,2.346829157085642
boundary_1_3_multiplier_tibetan_07,2026-01-01 02:47:42,2026-01-01 02:47:45.033451,3.0334512829286133
boundary_1_3_multiplier_tibetan_07,2026-01-01 13:53:13,2026-01-01 13:53:14.329656,1.3296562189289476
boundary_1_3_multiplier_tibetan_07,2026-01-01 14:53:01,2026-01-01 14:53:03.004978,2.004977741618274
boundary_1_3_multiplier_tibetan_07,2026-01-01 06:47:30,2026-01-01 06:47:34.198443,4.19844302393707
boundary_1_3_multiplier_tibetan_07,2026-01-01 06:32:12,2026-01-01 06:32:13.609789,1.6097891116828587
boundary_1_3_multiplier_tibetan_07,2026-01-01 19:21:24,2026-01-01 19:21:29.545442,5.545442261947384
boundary_1_3_multiplier_tibetan_07,2026-01-01 19:16:07,2026-01-01 19:16:09.630112,2.6301123344019057
boundary_1_3_multiplier_tibetan_07,2026-01-01 21:08:01,2026-01-01 21:08:02.836149,1.8361489667702504
boundary_1_3_multiplier_tibetan_07,2026-01-01 10:57:48,2026-01-01 10:57:49.638955,1.6389554887857858
boundary_1_3_multiplier_tibetan_07,2026-01-01 13:16:19,2026-01-01 13:16:21.800478,2.8004784374910194
boundary_1_3_multiplier_tibetan_07,2026-01-01 19:57:19,2026-01-01 19:57:23.516921,4.516921059201975
boundary_1_3_multiplier_tibetan_07,2026-01-01 09:09:32,2026-01-01 09:09:33.547917,1.5479172893934248
boundary_1_3_multiplier_tibetan_07,2026-01-01 20:31:03,2026-01-01 20:31:07.219987,4.219987346675003
boundary_1_3_multiplier_tibetan_07,2026-01-01 15:29:36,2026-01-01 15:29:38.797994,2.7979937532405357
boundary_1_3_multiplier_tibetan_07,2026-01-01 09:46:05,2026-01-01 09:46:06.467760,1.4677599602061921
boundary_1_3_multiplier_tibetan_07,2026-01-01 00:44:33,2026-01-01 00:44:35.668146,2.668145986199368
boundary_1_3_multiplier_tibetan_07,2026-01-01 15:49:23,2026-01-01 15:49:28.963242,5.963241589910857
boundary_1_3_multiplier_tibetan_07,2026-01-01 18:13:33,2026-01-01 18:13:37.311975,4.311975157284001
boundary_1_3_multiplier_tibetan_07,2026-01-01 09:41:30,2026-01-01 09:41:32.809396,2.8093961089160038
boundary_1_3_multiplier_tibetan_07,2026-01-01 04:45:06,2026-01-01 04:45:08.752006,2.752006153950952
boundary_1_3_multiplier_tibetan_07,2026-01-01 21:28:03,2026-01-01 21:28:06.041178,3.041177805595386
boundary_1_3_multiplier_tibetan_07,2026-01-02 04:41:49,2026-01-02 04:41:53.377223,4.377223266735873
boundary_1_3_multiplier_tibetan_07,2026-01-02 18:46:55,2026-01-02 18:47:00.264388,5.2643876965876855
boundary_1_3_multiplier_tibetan_07,2026-01-02 10:18:03,2026-01-02 10:18:08.510895,5.510894996117906
boundary_1_3_multiplier_tibetan_07,2026-01-02 04:26:16,2026-01-02 04:26:18.814312,2.8143119199153763
boundary_1_3_multiplier_tibetan_07,2026-01-02 23:43:44,2026-01-02 23:43:48.200112,4.2001120184353
boundary_1_3_multiplier_tibetan_07,2026-01-02 16:02:21,2026-01-02 16:02:22.722734,1.722733979866839
boundary_1_3_multiplier_tibetan_07,2026-01-02 01:34:27,2026-01-02 01:34:28.338014,1.3380144873083724
boundary_1_3_multiplier_tibetan_07,2026-01-02 05:26:00,2026-01-02 05:26:02.753735,2.7537345244519
