pet_id,start,end,duration_sec
boundary_2x_multiplier_goldendoodle_14,2026-01-01 10:03:44,2026-01-01 10:03:47.101075,3.101074822588349
boundary_2x_multiplier_goldendoodle_14,2026-01-01 08:20:19,2026-01-01 08:20:21.170001,2.1700010562338226
boundary_2x_multiplier_goldendoodle_14,2026-01-01 19:25:03,2026-01-01 19:25:05.625549,2.6255487688894945
boundary_2x_multiplier_goldendoodle_14,2026-01-01 12:38:51,2026-01-01 12:38:53.529591,2.5295907970824536
boundary_2x_multiplier_goldendoodle_14,2026-01-01 12:16:54,2026-01-01 12:16:55.393521,1.393521018940537
boundary_2x_multiplier_goldendoodle_14,2026-01-01 08:35:55,2026-01-01 08:35:58.903419,3.9034190378485176
boundary_2x_multiplier_goldendoodle_14,2026-01-01 07:30:27,2026-01-01 07:30:29.113037,2.1130367144719697
boundary_2x_multiplier_goldendoodle_14,2026-01-01 18:42:43,2026-01-01 18:42:44.774243,1.774243259962581
boundary_2x_multiplier_goldendoodle_14,2026-01-01 11:17:01,2026-01-01 11:17:05.226222,4.2262220453879715
boundary_2x_multiplier_goldendoodle_14,2026-01-01 02:17:24,2026-01-01 02:17:28.602974,4.602974236704982
boundary_2x_multiplier_goldendoodle_14,2026-01-01 20:15:27,2026-01-01 20:15:28.901876,1.9018760368851475
boundary_2x_multiplier_goldendoodle_14,2026-01-01 16:26:34,2026-01-01 16:26:35.727131,1.727131490077646
boundary_2x_multiplier_goldendoodle_14,2026-01-01 12:25:57,2026-01-01 12:25:58.193105,1.1931050909338654
boundary_2x_multiplier_goldendoodle_14,2026-01-01 11:01:00,2026-01-01 11:01:02.765040,2.765039680666286
boundary_2x_multiplier_goldendoodle_14,2026-01-01 11:57:12,2026-01-01 11:57:14.721242,2.7212423500210683
boundary_2x_multiplier_goldendoodle_14,2026-01-01 12:44:21,2026-01-01 12:44:25.908722,4.9087216517422405
boundary_2x_multiplier_goldendoodle_14,2026-01-01 08:55:21,2026-01-01 08:55:25.560411,4.560411006160246
boundary_2x_multiplier_goldendoodle_14,2026-01-01 11:04:36,2026-01-01 11:04:37.046368,1.0463679035878384
boundary_2x_multiplier_goldendoodle_14,2026-01-01 14:10:53,2026-01-01 14:10:54.549413,1.5494129650104354
boundary_2x_multiplier_goldendoodle_14,2026-01-02 09:06:00,2026-01-02 09:06:04.488545,4.48854547335997
boundary_2x_multiplier_goldendoodle_14,2026-01-02 08:53:43,2026-01-02 08:53:45.072853,2.072852567927351
boundary_2x_multiplier_goldendoodle_14,2026-01-02 13:07:09,2026-01-02 13:07:13.822227,4.822227315243957
boundary_2x_multiplier_goldendoodle_14,2026-01-02 11:42:32,2026-01-02 11:42:36.269146,4.269146386352174
boundary_2x_multiplier_goldendoodle_14,2026-01-02 07:36:33,2026-01-02 07:36:37.548829,4.548829073763422
boundary_2x_multiplier_goldendoodle_14,2026-01-02 08:45:46,2026-01-02 08:45:50.227334,4.227333941840348
boundary_2x_multiplier_goldendoodle_14,2026-01-02 08:34:11,2026-01-02 08:34:14.734767,3.734766652089455
boundary_2x_multiplier_goldendoodle_14,2026-01-02 22:39:46,2026-01-02 22:39:47.390072,1.3900717628609613
boundary_2x_multiplier_goldendoodle_14,2026-01-02 11:34:18,2026-01-02 11:34:20.560614,2.560614106086503
boundary_2x_multiplier_goldendoodle_14,2026-01-02 06:55:36,2026-01-02 06:55:38.355791,2.355791028775385
boundary_2x_multiplier_goldendoodle_14,2026-01-02 10:03:06,2026-01-02 10:03:10.379335,4.3793350865098475
boundary_2x_multiplier_goldendoodle_14,2026-01-03 21:03:37,2026-01-03 21:03:40.695092,3.6950921456085566
boundary_2x_multiplier_goldendoodle_14,2026-01-03 20:29:13,2026-01-03 20:29:17.929112,4.929112066374889
boundary_2x_multiplier_goldendoodle_14,2026-01-03 08:54:40,2026-01-03 08:54:42.316917,2.316917406784656
boundary_2x_multiplier_goldendoodle_14,2026-01-03 11:04:37,2026-01-03 11:04:39.104415,2.1044148141648935
boundary_2x_multiplier_goldendoodle_14,2026-01-03 09:13:01,2026-01-03 09:13:05.171498,4.171498101962591
boundary_2x_multiplier_goldendoodle_14,2026-01-03 19:32:14,2026-01-03 19:32:18.816270,4.816269981044661
boundary_2x_multiplier_goldendoodle_14,2026-01-03 03:03:49,2026-01-03 03:03:53.025628,4.02562751896696
boundary_2x_multiplier_goldendoodle_14,2026-01-03 04:26:33,2026-01-03 04:26:35.668614,2.6686144954980766
boundary_2x_multiplier_goldendoodle_14,2026-01-03 06:05:42,2026-01-03 06:05:45.528978,3.5289779438364706
boundary_2x_multiplier_goldendoodle_14,2026-01-03 09:51:03,2026-01-03 09:51:07.880352,4.880351775928571
boundary_2x_multiplier_goldendoodle_14,2026-01-03 22:11:16,2026-01-03 22:11:20.975698,4.975697950652782
boundary_2x_multiplier_goldendoodle_14,2026-01-03 13:47:49,2026-01-03 13:47:51.505618,2.505618179670857
boundary_2x_multiplier_goldendoodle_14,2026-01-03 11:52:39,2026-01-03 11:52:40.480419,1.4804189138045176
boundary_2x_multiplier_goldendoodle_14,2026-01-03 09:37:28,2026-01-03 09:37:29.599370,1.5993699970440485
boundary_2x_multiplier_goldendoodle_14,2026-01-03 00:25:31,2026-01-03 00:25:34.063133,3.063132693322242
boundary_2x_multiplier_goldendoodle_14,2026-01-03 19:01:57,2026-01-03 19:02:01.222183,4.222182862311829
boundary_2x_multiplier_goldendoodle_14,2026-01-03 21:00:52,2026-01-03 21:00:55.305034,3.3050341872399778
boundary_2x_multiplier_goldendoodle_14,2026-01-03 06:51:42,2026-01-03 06:51:45.025704,3.0257042095262294
boundary_2x_multiplier_goldendoodle_14,2026-01-03 13:04:54,2026-01-03 13:04:58.905531,4.905530968333242
boundary_2x_multiplier_goldendoodle_14,2026-01-03 12:05:48,2026-01-03 12:05:51.126980,3.126980308159321
boundary_2x_multiplier_goldendoodle_14,2026-01-03 11:57:20,2026-01-03 11:57:24.785775,4.785775489021182
boundary_2x_multiplier_goldendoodle_14,2026-01-04 19:38:43,2026-01-04 19:38:47.609831,4.609830584158503
boundary_2x_multiplier_goldendoodle_14,2026-01-04 00:14:08,2026-01-04 00:14:09.726548,1.7265479721257577
boundary_2x_multiplier_goldendoodle_14,2026-01-04 11:11:02,2026-01-04 11:11:05.125693,3.125692521718405
boundary_2x_multiplier_goldendoodle_14,2026-01-04 18:50:35,2026-01-04 18:50:37.032440,2.032440058482863
boundary_2x_multiplier_goldendoodle_14,2026-01-04 12:31:37,2026-01-04 12:31:40.236693,3.23669270362747
boundary_2x_multiplier_goldendoodle_14,2026-01-04 15:30:34,2026-01-04 15:30:38.053546,4.053546459144516
boundary_2x_multiplier_goldendoodle_14,2026-01-04 20:47:52,2026-01-04 20:47:54.591075,2.591074616393593
boundary_2x_multiplier_goldendoodle_14,2026-01-04 20:01:15,2026-01-04 20:01:16.323369,1.3233692130947037
boundary_2x_multiplier_goldendoodle_14,2026-01-04 10:49:41,2026-01-04 10:49:45.724326,4.72432607380323
boundary_2x_multiplier_goldendoodle_14,2026-01-04 20:12:28,2026-01-04 20:12:30.634571,2.6345708796250333
