pet_id,start,end,duration_sec
high_noise_high_baseline_goldendoodle_10,2026-01-01 12:29:30,2026-01-01 12:29:36.149140,6.149139518844317
high_noise_high_baseline_goldendoodle_10,2026-01-01 05:23:09,2026-01-01 05:23:15.311838,6.311838128950821
high_noise_high_baseline_goldendoodle_10,2026-01-01 08:56:16,2026-01-01 08:56:23.526491,7.526490540275285
high_noise_high_baseline_goldendoodle_10,2026-01-01 20:09:06,2026-01-01 20:09:08.544378,2.544378053672273
high_noise_high_baseline_goldendoodle_10,2026-01-01 12:14:28,2026-01-01 12:14:31.952083,3.95208345338372
high_noise_high_baseline_goldendoodle_10,2026-01-01 01:49:29,2026-01-01 01:49:31.180374,2.1803743680371497
high_noise_high_baseline_goldendoodle_10,2026-01-01 19:12:07,2026-01-01 19:12:13.276066,6.276066388257195
high_noise_high_baseline_goldendoodle_10,2026-01-01 16:44:31,2026-01-01 16:44:34.244365,3.2443652157660763
high_noise_high_baseline_goldendoodle_10,2026-01-01 12:49:24,2026-01-01 12:49:26.143467,2.1434671088737236
high_noise_high_baseline_goldendoodle_10,2026-01-01 11:59:08,2026-01-01 11:59:13.416550,5.416550429011031
high_noise_high_baseline_goldendoodle_10,2026-01-01 06:04:26,2026-01-01 06:04:29.335239,3.3352388539947153
high_noise_high_baseline_goldendoodle_10,2026-01-01 09:04:30,2026-01-01 09:04:32.810953,2.8109526435404018
high_noise_high_baseline_goldendoodle_10,2026-01-01 00:50:54,2026-01-01 00:51:00.276983,6.276982734386293
high_noise_high_baseline_goldendoodle_10,2026-01-01 11:16:38,2026-01-01 11:16:41.552047,3.5520465508219843
high_noise_high_baseline_goldendoodle_10,2026-01-01 18:55:52,2026-01-01 18:55:58.503664,6.5036635733714085
high_noise_high_baseline_goldendoodle_10,2026-01-01 00:14:11,2026-01-01 00:14:17.547421,6.547421175932281
high_noise_high_baseline_goldendoodle_10,2026-01-01 19:18:16,2026-01-01 19:18:19.735336,3.735336338980856
high_noise_high_baseline_goldendoodle_10,2026-01-01 09:03:19,2026-01-01 09:03:23.021810,4.021809831328928
high_noise_high_baseline_goldendoodle_10,2026-01-01 20:48:03,2026-01-01 20:48:07.446243,4.446243436315654
high_noise_high_baseline_goldendoodle_10,2026-01-01 12:02:02,2026-01-01 12:02:04.472027,2.47202670469165
high_noise_high_baseline_goldendoodle_10,2026-01-01 10:32:46,2026-01-01 10:32:53.427567,7.427566768840897
high_noise_high_baseline_goldendoodle_10,2026-01-01 06:37:06,2026-01-01 06:37:12.740676,6.740676288219939
high_noise_high_baseline_goldendoodle_10,2026-01-01 04:49:46,2026-01-01 04:49:49.471431,3.471431077747135
high_noise_high_baseline_goldendoodle_10,2026-01-01 15:38:44,2026-01-01 15:38:51.472806,7.472806049763286
high_noise_high_baseline_goldendoodle_10,2026-01-01 10:40:58,2026-01-01 10:41:01.484808,3.4848081385306684
high_noise_high_baseline_goldendoodle_10,2026-01-01 01:02:53,2026-01-01 01:02:55.405224,2.405223968505295
high_noise_high_baseline_goldendoodle_10,2026-01-01 15:18:41,2026-01-01 15:18:46.040156,5.040155861538592
high_noise_high_baseline_goldendoodle_10,2026-01-01 15:40:53,2026-01-01 15:40:59.207788,6.20778785878519
high_noise_high_baseline_goldendoodle_10,2026-01-01 08:16:21,2026-01-01 08:16:28.668445,7.668444554329676
high_noise_high_baseline_goldendoodle_10,2026-01-01 18:13:05,2026-01-01 18:13:09.591355,4.591354853096064
high_noise_high_baseline_goldendoodle_10,2026-01-02 18:00:29,2026-01-02 18:00:34.850663,5.850662580027683
high_noise_high_baseline_goldendoodle_10,2026-01-02 21:37:49,2026-01-02 21:37:52.431860,3.4318596361763527
high_noise_high_baseline_goldendoodle_10,2026-01-02 16:55:26,2026-01-02 16:55:33.682562,7.6825624931964684
high_noise_high_baseline_goldendoodle_10,2026-01-02 05:52:32,2026-01-02 05:52:34.999311,2.999310711238122
high_noise_high_baseline_goldendoodle_10,2026-01-02 04:43:56,2026-01-02 04:43:58.733213,2.7332129971060377
high_noise_high_baseline_goldendoodle_10,2026-01-02 16:07:18,2026-01-02 16:07:24.020683,6.02068317152832
high_noise_high_baseline_goldendoodle_10,2026-01-02 05:22:52,2026-01-02 05:22:56.428045,4.428044968086913
high_noise_high_baseline_goldendoodle_10,2026-01-02 05:37:15,2026-01-02 05:37:19.624980,4.624980099416049
high_noise_high_baseline_goldendoodle_10,2026-01-02 11:26:41,2026-01-02 11:26:48.367293,7.367293413885392
high_noise_high_baseline_goldendoodle_10,2026-01-02 07:45:05,2026-01-02 07:45:09.419606,4.4196062723140965
high_noise_high_baseline_goldendoodle_10,2026-01-02 20:33:30,2026-01-02 20:33:37.827010,7.827009514938078
high_noise_high_baseline_goldendoodle_10,2026-01-02 11:12:37,2026-01-02 11:12:43.714489,6.714489170711721
high_noise_high_baseline_goldendoodle_10,2026-01-02 19:07:20,2026-01-02 19:07:24.253769,4.253769109830335
high_noise_high_baseline_goldendoodle_10,2026-01-02 03:17:41,2026-01-02 03:17:48.101836,7.101835535819971
high_noise_high_baseline_goldendoodle_10,2026-01-02 16:32:06,2026-01-02 16:32:09.739582,3.7395824448406225
high_noise_high_baseline_goldendoodle_10,2026-01-02 07:40:55,2026-01-02 07:41:00.874125,5.8741246683717385
high_noise_high_baseline_goldendoodle_10,2026-01-02 06:58:16,2026-01-02 06:58:22.587091,6.58709106611146
high_noise_high_baseline_goldendoodle_10,2026-01-02 07:24:54,2026-01-02 07:25:01.056734,7.056734104518833
high_noise_high_baseline_goldendoodle_10,2026-01-02 14:13:03,2026-01-02 14:13:09.929163,6.929162805150378
high_noise_high_baseline_goldendoodle_10,2026-01-02 07:24:32,2026-01-02 07:24:38.591229,6.591228886323574
high_noise_high_baseline_goldendoodle_10,2026-01-02 14:22:17,2026-01-02 14:22:21.155377,4.155377240240719
high_noise_high_baseline_goldendoodle_10,2026-01-02 21:53:54,2026-01-02 21:54:01.039618,7.039617758504538
high_noise_high_baseline_goldendoodle_10,2026-01-02 15:48:33,2026-01-02 15:48:36.174376,3.174376436269026
high_noise_high_baseline_goldendoodle_10,2026-01-02 11:35:46,2026-01-02 11:35:52.741284,6.741284407297531
high_noise_high_baseline_goldendoodle_10,2026-01-02 00:59:36,2026-01-02 00:59:43.704794,7.704794142361986
high_noise_high_baseline_goldendoodle_10,2026-01-02 10:04:15,2026-01-02 10:04:17.071474,2.0714739827990147
high_noise_high_baseline_goldendoodle_10,2026-01-02 10:18:27,2026-01-02 10:18:29.195472,2.1954722613817
high_noise_high_baseline_goldendoodle_10,2026-01-02 16:38:28,2026-01-02 16:38:34.125095,6.125094972697193
high_noise_high_baseline_goldendoodle_10,2026-01-02 21:38:39,2026-01-02 21:38:46.367135,7.367134930308255
high_noise_high_baseline_goldendoodle_10,2026-01-02 15:36:07,2026-01-02 15:36:12.753122,5.7531224434684605
high_noise_high_baseline_goldendoodle_10,2026-01-02 09:22:06,2026-01-02 09:22:12.228034,6.228033606945293
high_noise_high_baseline_goldendoodle_10,2026-01-02 23:09:43,2026-01-02 23:09:48.088040,5.088040197391131
high_noise_high_baseline_goldendoodle_10,2026-01-02 23:02:17,2026-01-02 23:02:22.010228,5.010227551873466
high_noise_high_baseline_goldendoodle_10,2026-01-02 06:42:02,2026-01-02 06:42:06.428701,4.428700857973557
high_noise_high_baseline_goldendoodle_10,2026-01-02 01:25:13,2026-01-02 01:25:19.066487,6.066487395664406
high_noise_high_baseline_goldendoodle_10,2026-01-02 23:39:37,2026-01-02 23:39:44.102039,7.102039153063082
high_noise_high_baseline_goldendoodle_10,2026-01-02 13:18:37,2026-01-02 13:18:39.746696,2.746696425478466
high_noise_high_baseline_goldendoodle_10,2026-01-02 08:06:38,2026-01-02 08:06:40.541923,2.5419229862798645
high_noise_high_baseline_goldendoodle_10,2026-01-02 16:10:57,2026-01-02 16:11:02.855059,5.855058731686256
high_noise_high_baseline_goldendoodle_10,2026-01-03 10:26:06,2026-01-03 10:26:10.349271,4.349270943775651
high_noise_high_baseline_goldendoodle_10,2026-01-03 15:22:45,2026-01-03 15:22:47.511364,2.511364084158848
high_noise_high_baseline_goldendoodle_10,2026-01-03 07:08:58,2026-01-03 07:09:00.026593,2.026592901601539
high_noise_high_baseline_goldendoodle_10,2026-01-03 15:50:39,2026-01-03 15:50:41.990855,2.9908545263781843
high_noise_high_baseline_goldendoodle_10,2026-01-03 01:06:44,2026-01-03 01:06:48.747908,4.747907666044432
high_noise_high_baseline_goldendoodle_10,2026-01-03 16:48:06,2026-01-03 16:48:08.584492,2.584491643956528
high_noise_high_baseline_goldendoodle_10,2026-01-03 12:42:34,2026-01-03 12:42:37.871375,3.871374683299731
high_noise_high_baseline_goldendoodle_10,2026-01-03 21:13:16,2026-01-03 21:13:23.285622,7.2856218408125315
high_noise_high_baseline_goldendoodle_10,2026-01-03 12:50:29,2026-01-03 12:50:33.453053,4.453053197431602
high_noise_high_baseline_goldendoodle_10,2026-01-03 11:58:10,2026-01-03 11:58:16.287475,6.287474705296285
high_noise_high_baseline_goldendoodle_10,2026-01-03 14:01:43,2026-01-03 14:01:47.134613,4.1346130627737905
high_noise_high_baseline_goldendoodle_10,2026-01-03 20:17:04,2026-01-03 20:17:07.662887,3.6628874165983314
high_noise_high_baseline_goldendoodle_10,2026-01-03 09:06:21,2026-01-03 09:06:26.549414,5.549413948309015
high_noise_high_baseline_goldendoodle_10,2026-01-03 06:20:02,2026-01-03 06:20:04.454586,2.4545859871895566
high_noise_high_baseline_goldendoodle_10,2026-01-03 13:34:10,2026-01-03 13:34:14.840091,4.840091032444462
high_noise_high_baseline_goldendoodle_10,2026-01-03 14:29:06,2026-01-03 14:29:08.888839,2.8888388006716936
high_noise_high_baseline_goldendoodle_10,2026-01-03 21:48:36,2026-01-03 21:48:42.707158,6.707157663063855
high_noise_high_baseline_goldendoodle_10,2026-01-03 20:18:21,2026-01-03 20:18:27.117038,6.1170377931621225
high_noise_high_baseline_goldendoodle_10,2026-01-03 10:11:17,2026-01-03 10:11:24.715371,7.715371457191257
high_noise_high_baseline_goldendoodle_10,2026-01-03 12:56:15,2026-01-03 12:56:18.954786,3.9547856092838125
high_noise_high_baseline_goldendoodle_10,2026-01-03 06:45:25,2026-01-03 06:45:29.748805,4.74880527385729
