pet_id,start,end,duration_sec
ramp_high_baseline_bichon_03,2026-01-01 21:43:18,2026-01-01 21:43:25.659925,7.659924508069098
ramp_high_baseline_bichon_03,2026-01-01 14:01:51,2026-01-01 14:01:53.031477,2.031477358290263
ramp_high_baseline_bichon_03,2026-01-01 13:59:05,2026-01-01 13:59:08.652878,3.652877547914284
ramp_high_baseline_bichon_03,2026-01-02 09:46:06,2026-01-02 09:46:10.408997,4.4089973718965325
ramp_high_baseline_bichon_03,2026-01-02 16:47:44,2026-01-02 16:47:49.652275,5.6522746899038205
ramp_high_baseline_bichon_03,2026-01-02 07:27:47,2026-01-02 07:27:49.213325,2.213324864057128
ramp_high_baseline_bichon_03,2026-01-02 07:48:34,2026-01-02 07:48:41.105627,7.105626997671329
ramp_high_baseline_bichon_03,2026-01-02 17:26:47,2026-01-02 17:26:50.932332,3.932331783229306
ramp_high_baseline_bichon_03,2026-01-02 17:56:02,2026-01-02 17:56:09.306478,7.306477771833423
ramp_high_baseline_bichon_03,2026-01-02 18:43:51,2026-01-02 18:43:53.786723,2.78672312141825
ramp_high_baseline_bichon_03,2026-01-02 18:13:23,2026-01-02 18:13:30.332963,7.332963125281909
ramp_high_baseline_bichon_03,2026-01-02 18:46:39,2026-01-02 18:46:45.955244,6.955244397385785
ramp_high_baseline_bichon_03,2026-01-02 03:33:59,2026-01-02 03:34:03.007308,4.00730775791915
ramp_high_baseline_bichon_03,2026-01-02 09:03:54,2026-01-02 09:03:58.200384,4.200384325310918
ramp_high_baseline_bichon_03,2026-01-02 15:02:58,2026-01-02 15:03:02.946075,4.946075378863063
ramp_high_baseline_bichon_03,2026-01-02 06:24:01,2026-01-02 06:24:08.133387,7.133387363053868
ramp_high_baseline_bichon_03,2026-01-02 19:19:48,2026-01-02 19:19:55.128816,7.128816443286494
ramp_high_baseline_bichon_03,2026-01-02 18:45:23,2026-01-02 18:45:26.893459,3.8934592104613515
ramp_high_baseline_bichon_03,2026-01-02 14:14:21,2026-01-02 14:14:23.396319,2.3963185412310275
ramp_high_baseline_bichon_03,2026-01-02 06:11:07,2026-01-02 06:11:12.001505,5.001505235252753
ramp_high_baseline_bichon_03,2026-01-02 05:55:26,2026-01-02 05:55:31.547635,5.547634812589493
ramp_high_baseline_bichon_03,2026-01-02 18:16:46,2026-01-02 18:16:52.815194,6.815194184253684
ramp_high_baseline_bichon_03,2026-01-02 21:45:06,2026-01-02 21:45:12.483230,6.483229649189877
ramp_high_baseline_bichon_03,2026-01-02 20:09:14,2026-01-02 20:09:16.539427,2.5394270664443415
ramp_high_baseline_bichon_03,2026-01-02 17:48:29,2026-01-02 17:48:34.265813,5.265812768940455
ramp_high_baseline_bichon_03,2026-01-02 14:36:53,2026-01-02 14:36:58.410694,5.410693842653507
ramp_high_baseline_bichon_03,2026-01-02 10:37:00,2026-01-02 10:37:05.224085,5.224084769274813
ramp_high_baseline_bichon_03,2026-01-02 21:25:49,2026-01-02 21:25:56.640315,7.640315189260679
ramp_high_baseline_bichon_03,2026-01-02 11:29:54,2026-01-02 11:30:01.329099,7.329098500982101
ramp_high_baseline_bichon_03,2026-01-02 15:23:29,2026-01-02 15:23:33.184067,4.184067353360092
ramp_high_baseline_bichon_03,2026-01-02 17:29:40,2026-01-02 17:29:47.176853,7.17685250354662
ramp_high_baseline_bichon_03,2026-01-02 14:27:45,2026-01-02 14:27:50.842712,5.842711550873571
ramp_high_baseline_bichon_03,2026-01-02 18:03:26,2026-01-02 18:03:31.172772,5.17277151376892
ramp_high_baseline_bichon_03,2026-01-02 10:25:59,2026-01-02 10:26:03.475411,4.4754108401109765
ramp_high_baseline_bichon_03,2026-01-02 16:17:16,2026-01-02 16:17:19.767732,3.767731525010905
ramp_high_baseline_bichon_03,2026-01-02 14:41:42,2026-01-02 14:41:45.725834,3.7258336889632435
ramp_high_baseline_bichon_03,2026-01-02 21:42:17,2026-01-02 21:42:21.579531,4.57953065143547
ramp_high_baseline_bichon_03,2026-01-02 18:27:28,2026-01-02 18:27:35.477971,7.477971431580284
ramp_high_baseline_bichon_03,2026-01-02 18:38:05,2026-01-02 18:38:11.935789,6.935788915244611
ramp_high_baseline_bichon_03,2026-01-02 18:18:48,2026-01-02 18:18:50.698695,2.6986949221243037
ramp_high_baseline_bichon_03,2026-01-03 21:17:42,2026-01-03 21:17:47.182291,5.182291151153121
ramp_high_baseline_bichon_03,2026-01-03 18:18:16,2026-01-03 18:18:18.754933,2.7549334653977278
ramp_high_baseline_bichon_03,2026-01-03 04:27:12,2026-01-03 04:27:19.195033,7.195033324331656
ramp_high_baseline_bichon_03,2026-01-03 15:44:48,2026-01-03 15:44:50.375747,2.3757472734777076
ramp_high_baseline_bichon_03,2026-01-03 02:29:28,2026-01-03 02:29:31.235504,3.2355036946843594
ramp_high_baseline_bichon_03,2026-01-03 08:05:23,2026-01-03 08:05:25.401152,2.4011524713541217
ramp_high_baseline_bichon_03,2026-01-03 21:23:11,2026-01-03 21:23:15.619207,4.619206666128274
ramp_high_baseline_bichon_03,2026-01-03 23:40:23,2026-01-03 23:40:25.297283,2.29728292115107
ramp_high_baseline_bichon_03,2026-01-03 14:12:11,2026-01-03 14:12:15.798524,4.798523668879435
ramp_high_baseline_bichon_03,2026-01-03 17:48:29,2026-01-03 17:48:32.064246,3.064245618948556
ramp_high_baseline_bichon_03,2026-01-03 12:26:48,2026-01-03 12:26:50.260545,2.260544513981642
ramp_high_baseline_bichon_03,2026-01-03 19:32:23,2026-01-03 19:32:25.809395,2.809394855740426
ramp_high_baseline_bichon_03,2026-01-03 14:15:37,2026-01-03 14:15:40.730533,3.730533303630337
ramp_high_baseline_bichon_03,2026-01-03 05:01:02,2026-01-03 05:01:04.156443,2.1564425752447187
ramp_high_baseline_bichon_03,2026-01-03 07:56:02,2026-01-03 07:56:06.342520,4.342519682915105
ramp_high_baseline_bichon_03,2026-01-03 09:40:30,2026-01-03 09:40:37.821234,7.821234479245763
ramp_high_baseline_bichon_03,2026-01-03 04:45:50,2026-01-03 04:45:57.103575,7.103575314490094
ramp_high_baseline_bichon_03,2026-01-03 16:44:15,2026-01-03 16:44:22.737615,7.73761537929339
ramp_high_baseline_bichon_03,2026-01-03 10:45:17,2026-01-03 10:45:21.863850,4.863850204685066
ramp_high_baseline_bichon_03,2026-01-03 03:56:54,2026-01-03 03:56:57.215837,3.2158371985385314
ramp_high_baseline_bichon_03,2026-01-03 00:38:38,2026-01-03 00:38:42.561150,4.5611498420900345
ramp_high_baseline_bichon_03,2026-01-03 12:07:29,2026-01-03 12:07:32.397296,3.397296348202678
ramp_high_baseline_bichon_03,2026-01-03 20:07:01,2026-01-03 20:07:05.261439,4.261438811027945
ramp_high_baseline_bichon_03,2026-01-03 21:13:21,2026-01-03 21:13:27.370927,6.370927268754745
ramp_high_baseline_bichon_03,2026-01-03 01:52:09,2026-01-03 01:52:13.653856,4.653855994522688
ramp_high_baseline_bichon_03,2026-01-03 08:26:34,2026-01-03 08:26:38.020320,4.020319535290709
ramp_high_baseline_bichon_03,2026-01-03 14:41:14,2026-01-03 14:41:19.450940,5.450939821198431
ramp_high_baseline_bichon_03,2026-01-03 06:03:36,2026-01-03 06:03:39.074208,3.0742077935502916
ramp_high_baseline_bichon_03,2026-01-03 11:17:02,2026-01-03 11:17:09.482558,7.482558003584938
ramp_high_baseline_bichon_03,2026-01-03 15:33:01,2026-01-03 15:33:05.563016,4.563016366929777
ramp_high_baseline_bichon_03,2026-01-03 15:32:46,2026-01-03 15:32:53.427121,7.427120775272082
ramp_high_baseline_bichon_03,2026-01-03 18:30:11,2026-01-03 18:30:17.895322,6.895322071902321
ramp_high_baseline_bichon_03,2026-01-03 19:34:08,2026-01-03 19:34:15.342963,7.342963445027105
ramp_high_baseline_bichon_03,2026-01-03 09:52:59,2026-01-03 09:53:04.329061,5.329061388052914
ramp_high_baseline_bichon_03,2026-01-03 18:20:34,2026-01-03 18:20:41.247222,7.247221719024314
ramp_high_baseline_bichon_03,2026-01-03 10:33:11,2026-01-03 10:33:15.862424,4.862424176270134
ramp_high_baseline_bichon_03,2026-01-06 03:24:09,2026-01-06 03:24:15.680135,6.680134525135768
ramp_high_baseline_bichon_03,2026-01-06 13:09:13,2026-01-06 13:09:19.229526,6.229526007003873
ramp_high_baseline_bichon_03,2026-01-06 01:59:05,2026-01-06 01:59:11.534402,6.534402106051036
ramp_high_baseline_bichon_03,2026-01-06 20:37:52,2026-01-06 20:37:56.577755,4.577754509029366
ramp_high_baseline_bichon_03,2026-01-06 02:51:38,2026-01-06 02:51:41.328321,3.328320745701896
ramp_high_baseline_bichon_03,2026-01-06 12:03:53,2026-01-06 12:03:58.908696,5.908696146463068
ramp_high_baseline_bichon_03,2026-01-06 15:18:54,2026-01-06 15:18:57.953617,3.9536166339485614
ramp_high_baseline_bichon_03,2026-01-06 11:46:34,2026-01-06 11:46:36.573533,2.5735328703870595
ramp_high_baseline_bichon_03,2026-01-07 09:34:38,2026-01-07 09:34:42.987652,4.98765221856103
ramp_high_baseline_bichon_03,2026-01-07 19:59:44,2026-01-07 19:59:51.250625,7.250625161187129
ramp_high_baseline_bichon_03,2026-01-07 15:19:24,2026-01-07 15:19:28.469206,4.469205895792568
ramp_high_baseline_bichon_03,2026-01-07 11:21:51,2026-01-07 11:21:57.847659,6.847659260783409
ramp_high_baseline_bichon_03,2026-01-07 11:27:27,2026-01-07 11:27:31.440131,4.440131207501404
ramp_high_baseline_bichon_03,2026-01-07 16:50:18,2026-01-07 16:50:23.442800,5.4427996357883455
ramp_high_baseline_bichon_03,2026-01-07 08:15:38,2026-01-07 08:15:42.033216,4.033216020778294
ramp_high_baseline_bichon_03,2026-01-07 00:18:07,2026-01-07 00:18:13.237561,6.237560568777469
ramp_high_baseline_bichon_03,2026-01-07 12:31:33,2026-01-07 12:31:39.918361,6.918360609386342
