feature,importance_mean,importance_std
sleep_disruption_count,0.28376888512275306,0.003550499869095274
baseline_ratio_count_excl_recent14,0.1242091324307991,0.0047506040722841356
total_duration_min,0.043051947746359016,0.0022414002799620706
night_ratio,0.012660362459923635,0.0016585240478097212
rolling_mean_3d,0.005212694273100908,0.0010346428178967732
interval_mean,0.0009391570402204952,0.0007858163050118241
event_rate_per_wear_hour,6.536780476593674e-05,0.00013073560953187348
duration_median,0.0,0.0
event_count,0.0,0.0
duration_rate_per_wear_hour,0.0,0.0
max_event_duration_sec,0.0,0.0
duration_std,0.0,0.0
duration_mean,0.0,0.0
wear_completeness_ratio,0.0,0.0
breed_or_size_class,0.0,0.0
has_any_baseline,0.0,0.0
z_score_vs_self,0.0,0.0
interval_std,0.0,0.0
consecutive_days_above_baseline,0.0,0.0
flare_episode_count_90d,0.0,0.0
baseline_ratio_count_recent3,0.0,0.0
days_since_last_flare_end,0.0,0.0
baseline_ratio_count_recent7,0.0,0.0
baseline_ratio_count_recent14,0.0,0.0
baseline_ratio_count_recent21,0.0,0.0
history_days_available,0.0,0.0
baseline_ratio_count_recent30,0.0,0.0
baseline_ratio_count_excl_recent30,0.0,0.0
baseline_ratio_duration_recent7,0.0,0.0
baseline_ratio_duration_recent3,0.0,0.0
baseline_ratio_duration_recent21,0.0,0.0
baseline_ratio_duration_recent30,0.0,0.0
baseline_ratio_duration_excl_recent14,0.0,0.0
baseline_ratio_duration_recent14,0.0,0.0
baseline_ratio_duration_excl_recent30,0.0,0.0
rolling_mean_7d,0.0,0.0
rolling_mean_14d,0.0,0.0
rolling_mean_30d,0.0,0.0
rolling_std_3d,0.0,0.0
rolling_std_7d,0.0,0.0
rolling_std_14d,0.0,0.0
rolling_std_30d,0.0,0.0
