pet_id,date,valid_wear_hours
boundary_1_31_multiplier_bichon_08,2026-01-01,17.25
boundary_1_31_multiplier_bichon_08,2026-01-02,17.09
boundary_1_31_multiplier_bichon_08,2026-01-03,17.79
boundary_1_31_multiplier_bichon_08,2026-01-04,16.03
boundary_1_31_multiplier_bichon_08,2026-01-05,18.71
boundary_1_31_multiplier_bichon_08,2026-01-06,18.57
boundary_1_31_multiplier_bichon_08,2026-01-07,20.23
boundary_1_31_multiplier_bichon_08,2026-01-08,18.59
boundary_1_31_multiplier_bichon_08,2026-01-09,20.53
boundary_1_31_multiplier_bichon_08,2026-01-10,16.9
boundary_1_31_multiplier_bichon_08,2026-01-11,17.22
boundary_1_31_multiplier_bichon_08,2026-01-12,20.78
boundary_1_31_multiplier_bichon_08,2026-01-13,20.24
boundary_1_31_multiplier_bichon_08,2026-01-14,19.51
boundary_1_31_multiplier_bichon_08,2026-01-15,16.5
boundary_1_31_multiplier_bichon_08,2026-01-16,17.62
boundary_1_31_multiplier_bichon_08,2026-01-17,17.43
boundary_1_31_multiplier_bichon_08,2026-01-18,20.36
boundary_1_31_multiplier_bichon_08,2026-01-19,22.26
boundary_1_31_multiplier_bichon_08,2026-01-20,21.67
boundary_1_31_multiplier_bichon_08,2026-01-21,21.73
boundary_1_31_multiplier_bichon_08,2026-01-22,20.74
boundary_1_31_multiplier_bichon_08,2026-01-23,20.87
boundary_1_31_multiplier_bichon_08,2026-01-24,18.69
boundary_1_31_multiplier_bichon_08,2026-01-25,20.71
boundary_1_31_multiplier_bichon_08,2026-01-26,21.67
boundary_1_31_multiplier_bichon_08,2026-01-27,22.29
boundary_1_31_multiplier_bichon_08,2026-01-28,21.65
boundary_1_31_multiplier_bichon_08,2026-01-29,21.76
boundary_1_31_multiplier_bichon_08,2026-01-30,20.48
boundary_1_31_multiplier_bichon_08,2026-01-31,19.35
boundary_1_31_multiplier_bichon_08,2026-02-01,17.73
boundary_1_31_multiplier_bichon_08,2026-02-02,16.69
boundary_1_31_multiplier_bichon_08,2026-02-03,17.22
boundary_1_31_multiplier_bichon_08,2026-02-04,17.95
boundary_1_31_multiplier_bichon_08,2026-02-05,17.71
boundary_1_31_multiplier_bichon_08,2026-02-06,21.05
