pet_id,date,valid_wear_hours
boundary_1_3_multiplier_tibetan_07,2026-01-01,21.69
boundary_1_3_multiplier_tibetan_07,2026-01-02,17.48
boundary_1_3_multiplier_tibetan_07,2026-01-03,22.42
boundary_1_3_multiplier_tibetan_07,2026-01-04,18.56
boundary_1_3_multiplier_tibetan_07,2026-01-05,17.47
boundary_1_3_multiplier_tibetan_07,2026-01-06,18.31
boundary_1_3_multiplier_tibetan_07,2026-01-07,19.57
boundary_1_3_multiplier_tibetan_07,2026-01-08,21.53
boundary_1_3_multiplier_tibetan_07,2026-01-09,21.39
boundary_1_3_multiplier_tibetan_07,2026-01-10,18.1
boundary_1_3_multiplier_tibetan_07,2026-01-11,16.64
boundary_1_3_multiplier_tibetan_07,2026-01-12,22.85
boundary_1_3_multiplier_tibetan_07,2026-01-13,18.76
boundary_1_3_multiplier_tibetan_07,2026-01-14,19.49
boundary_1_3_multiplier_tibetan_07,2026-01-15,20.24
boundary_1_3_multiplier_tibetan_07,2026-01-16,17.4
boundary_1_3_multiplier_tibetan_07,2026-01-17,21.99
boundary_1_3_multiplier_tibetan_07,2026-01-18,22.74
boundary_1_3_multiplier_tibetan_07,2026-01-19,20.21
boundary_1_3_multiplier_tibetan_07,2026-01-20,20.9
boundary_1_3_multiplier_tibetan_07,2026-01-21,18.89
boundary_1_3_multiplier_tibetan_07,2026-01-22,18.97
boundary_1_3_multiplier_tibetan_07,2026-01-23,20.29
boundary_1_3_multiplier_tibetan_07,2026-01-24,20.42
boundary_1_3_multiplier_tibetan_07,2026-01-25,22.51
boundary_1_3_multiplier_tibetan_07,2026-01-26,18.71
boundary_1_3_multiplier_tibetan_07,2026-01-27,18.59
boundary_1_3_multiplier_tibetan_07,2026-01-28,18.08
boundary_1_3_multiplier_tibetan_07,2026-01-29,17.49
boundary_1_3_multiplier_tibetan_07,2026-01-30,16.94
boundary_1_3_multiplier_tibetan_07,2026-01-31,19.09
boundary_1_3_multiplier_tibetan_07,2026-02-01,18.01
boundary_1_3_multiplier_tibetan_07,2026-02-02,19.06
boundary_1_3_multiplier_tibetan_07,2026-02-03,18.04
boundary_1_3_multiplier_tibetan_07,2026-02-04,16.22
boundary_1_3_multiplier_tibetan_07,2026-02-05,21.86
boundary_1_3_multiplier_tibetan_07,2026-02-06,20.17
