pet_id,date,valid_wear_hours
boundary_2x_multiplier_goldendoodle_14,2026-01-01,22.6
boundary_2x_multiplier_goldendoodle_14,2026-01-02,22.23
boundary_2x_multiplier_goldendoodle_14,2026-01-03,20.36
boundary_2x_multiplier_goldendoodle_14,2026-01-04,22.66
boundary_2x_multiplier_goldendoodle_14,2026-01-05,21.95
boundary_2x_multiplier_goldendoodle_14,2026-01-06,18.33
boundary_2x_multiplier_goldendoodle_14,2026-01-07,19.69
boundary_2x_multiplier_goldendoodle_14,2026-01-08,18.6
boundary_2x_multiplier_goldendoodle_14,2026-01-09,17.94
boundary_2x_multiplier_goldendoodle_14,2026-01-10,21.31
boundary_2x_multiplier_goldendoodle_14,2026-01-11,20.34
boundary_2x_multiplier_goldendoodle_14,2026-01-12,20.49
boundary_2x_multiplier_goldendoodle_14,2026-01-13,21.02
boundary_2x_multiplier_goldendoodle_14,2026-01-14,20.22
boundary_2x_multiplier_goldendoodle_14,2026-01-15,16.45
boundary_2x_multiplier_goldendoodle_14,2026-01-16,17.12
boundary_2x_multiplier_goldendoodle_14,2026-01-17,20.06
boundary_2x_multiplier_goldendoodle_14,2026-01-18,16.11
boundary_2x_multiplier_goldendoodle_14,2026-01-19,17.97
boundary_2x_multiplier_goldendoodle_14,2026-01-20,22.51
boundary_2x_multiplier_goldendoodle_14,2026-01-21,20.89
boundary_2x_multiplier_goldendoodle_14,2026-01-22,19.05
boundary_2x_multiplier_goldendoodle_14,2026-01-23,19.59
boundary_2x_multiplier_goldendoodle_14,2026-01-24,22.9
boundary_2x_multiplier_goldendoodle_14,2026-01-25,20.55
boundary_2x_multiplier_goldendoodle_14,2026-01-26,19.37
boundary_2x_multiplier_goldendoodle_14,2026-01-27,20.81
boundary_2x_multiplier_goldendoodle_14,2026-01-28,19.81
boundary_2x_multiplier_goldendoodle_14,2026-01-29,19.0
boundary_2x_multiplier_goldendoodle_14,2026-01-30,20.03
boundary_2x_multiplier_goldendoodle_14,2026-01-31,17.39
boundary_2x_multiplier_goldendoodle_14,2026-02-01,16.65
boundary_2x_multiplier_goldendoodle_14,2026-02-02,17.9
boundary_2x_multiplier_goldendoodle_14,2026-02-03,19.1
boundary_2x_multiplier_goldendoodle_14,2026-02-04,21.92
boundary_2x_multiplier_goldendoodle_14,2026-02-05,16.4
