pet_id,date,valid_wear_hours
chronic_high_mild_boundary_bichon_02,2026-01-01,17.57
chronic_high_mild_boundary_bichon_02,2026-01-02,22.25
chronic_high_mild_boundary_bichon_02,2026-01-03,18.53
chronic_high_mild_boundary_bichon_02,2026-01-04,22.48
chronic_high_mild_boundary_bichon_02,2026-01-05,17.17
chronic_high_mild_boundary_bichon_02,2026-01-06,22.33
chronic_high_mild_boundary_bichon_02,2026-01-07,22.29
chronic_high_mild_boundary_bichon_02,2026-01-08,22.42
chronic_high_mild_boundary_bichon_02,2026-01-09,20.68
chronic_high_mild_boundary_bichon_02,2026-01-10,22.44
chronic_high_mild_boundary_bichon_02,2026-01-11,21.44
chronic_high_mild_boundary_bichon_02,2026-01-12,17.01
chronic_high_mild_boundary_bichon_02,2026-01-13,21.93
chronic_high_mild_boundary_bichon_02,2026-01-14,16.96
chronic_high_mild_boundary_bichon_02,2026-01-15,20.13
chronic_high_mild_boundary_bichon_02,2026-01-16,16.2
chronic_high_mild_boundary_bichon_02,2026-01-17,19.75
chronic_high_mild_boundary_bichon_02,2026-01-18,17.5
chronic_high_mild_boundary_bichon_02,2026-01-19,17.96
chronic_high_mild_boundary_bichon_02,2026-01-20,22.83
chronic_high_mild_boundary_bichon_02,2026-01-21,21.76
chronic_high_mild_boundary_bichon_02,2026-01-22,19.65
chronic_high_mild_boundary_bichon_02,2026-01-23,21.47
chronic_high_mild_boundary_bichon_02,2026-01-24,20.97
chronic_high_mild_boundary_bichon_02,2026-01-25,16.57
chronic_high_mild_boundary_bichon_02,2026-01-26,20.81
chronic_high_mild_boundary_bichon_02,2026-01-27,21.78
chronic_high_mild_boundary_bichon_02,2026-01-28,18.81
chronic_high_mild_boundary_bichon_02,2026-01-29,18.69
chronic_high_mild_boundary_bichon_02,2026-01-30,16.15
chronic_high_mild_boundary_bichon_02,2026-01-31,22.0
chronic_high_mild_boundary_bichon_02,2026-02-01,20.39
