pet_id,date,valid_wear_hours
chronic_high_moderate_off_body_bichon_12,2026-01-01,16.61
chronic_high_moderate_off_body_bichon_12,2026-01-02,18.49
chronic_high_moderate_off_body_bichon_12,2026-01-03,19.69
chronic_high_moderate_off_body_bichon_12,2026-01-04,0.0
chronic_high_moderate_off_body_bichon_12,2026-01-05,0.0
chronic_high_moderate_off_body_bichon_12,2026-01-06,17.26
chronic_high_moderate_off_body_bichon_12,2026-01-07,20.84
chronic_high_moderate_off_body_bichon_12,2026-01-08,19.27
chronic_high_moderate_off_body_bichon_12,2026-01-09,19.07
chronic_high_moderate_off_body_bichon_12,2026-01-10,18.95
chronic_high_moderate_off_body_bichon_12,2026-01-11,19.86
chronic_high_moderate_off_body_bichon_12,2026-01-12,20.9
chronic_high_moderate_off_body_bichon_12,2026-01-13,0.0
chronic_high_moderate_off_body_bichon_12,2026-01-14,0.0
chronic_high_moderate_off_body_bichon_12,2026-01-15,17.23
chronic_high_moderate_off_body_bichon_12,2026-01-16,16.48
chronic_high_moderate_off_body_bichon_12,2026-01-17,19.09
chronic_high_moderate_off_body_bichon_12,2026-01-18,18.34
chronic_high_moderate_off_body_bichon_12,2026-01-19,21.72
chronic_high_moderate_off_body_bichon_12,2026-01-20,22.49
chronic_high_moderate_off_body_bichon_12,2026-01-21,16.81
chronic_high_moderate_off_body_bichon_12,2026-01-22,0.0
chronic_high_moderate_off_body_bichon_12,2026-01-23,0.0
chronic_high_moderate_off_body_bichon_12,2026-01-24,22.86
chronic_high_moderate_off_body_bichon_12,2026-01-25,21.9
chronic_high_moderate_off_body_bichon_12,2026-01-26,17.27
chronic_high_moderate_off_body_bichon_12,2026-01-27,22.01
chronic_high_moderate_off_body_bichon_12,2026-01-28,18.19
chronic_high_moderate_off_body_bichon_12,2026-01-29,17.08
chronic_high_moderate_off_body_bichon_12,2026-01-30,21.83
chronic_high_moderate_off_body_bichon_12,2026-01-31,0.0
