pet_id,date,valid_wear_hours
chronic_high_severe_goldendoodle_start_01,2026-01-01,20.7
chronic_high_severe_goldendoodle_start_01,2026-01-02,16.61
chronic_high_severe_goldendoodle_start_01,2026-01-03,20.32
chronic_high_severe_goldendoodle_start_01,2026-01-04,21.1
chronic_high_severe_goldendoodle_start_01,2026-01-05,21.14
chronic_high_severe_goldendoodle_start_01,2026-01-06,20.18
chronic_high_severe_goldendoodle_start_01,2026-01-07,20.42
chronic_high_severe_goldendoodle_start_01,2026-01-08,17.97
chronic_high_severe_goldendoodle_start_01,2026-01-09,20.56
chronic_high_severe_goldendoodle_start_01,2026-01-10,17.41
chronic_high_severe_goldendoodle_start_01,2026-01-11,16.46
chronic_high_severe_goldendoodle_start_01,2026-01-12,17.7
chronic_high_severe_goldendoodle_start_01,2026-01-13,16.79
chronic_high_severe_goldendoodle_start_01,2026-01-14,16.7
chronic_high_severe_goldendoodle_start_01,2026-01-15,16.83
chronic_high_severe_goldendoodle_start_01,2026-01-16,22.37
chronic_high_severe_goldendoodle_start_01,2026-01-17,21.66
chronic_high_severe_goldendoodle_start_01,2026-01-18,16.74
chronic_high_severe_goldendoodle_start_01,2026-01-19,21.38
chronic_high_severe_goldendoodle_start_01,2026-01-20,21.95
chronic_high_severe_goldendoodle_start_01,2026-01-21,19.56
chronic_high_severe_goldendoodle_start_01,2026-01-22,22.11
chronic_high_severe_goldendoodle_start_01,2026-01-23,17.9
chronic_high_severe_goldendoodle_start_01,2026-01-24,17.39
chronic_high_severe_goldendoodle_start_01,2026-01-25,20.28
chronic_high_severe_goldendoodle_start_01,2026-01-26,18.85
chronic_high_severe_goldendoodle_start_01,2026-01-27,17.29
chronic_high_severe_goldendoodle_start_01,2026-01-28,20.98
chronic_high_severe_goldendoodle_start_01,2026-01-29,16.85
chronic_high_severe_goldendoodle_start_01,2026-01-30,19.83
chronic_high_severe_goldendoodle_start_01,2026-01-31,20.46
chronic_high_severe_goldendoodle_start_01,2026-02-01,16.33
chronic_high_severe_goldendoodle_start_01,2026-02-02,17.65
chronic_high_severe_goldendoodle_start_01,2026-02-03,21.55
chronic_high_severe_goldendoodle_start_01,2026-02-04,20.36
