pet_id,date,valid_wear_hours
cyclical_conflicting_better_bichon_13,2026-01-01,6.97
cyclical_conflicting_better_bichon_13,2026-01-02,16.22
cyclical_conflicting_better_bichon_13,2026-01-03,18.95
cyclical_conflicting_better_bichon_13,2026-01-04,16.45
cyclical_conflicting_better_bichon_13,2026-01-05,22.2
cyclical_conflicting_better_bichon_13,2026-01-06,3.79
cyclical_conflicting_better_bichon_13,2026-01-07,16.13
cyclical_conflicting_better_bichon_13,2026-01-08,17.5
cyclical_conflicting_better_bichon_13,2026-01-09,21.37
cyclical_conflicting_better_bichon_13,2026-01-10,21.2
cyclical_conflicting_better_bichon_13,2026-01-11,5.24
cyclical_conflicting_better_bichon_13,2026-01-12,18.78
cyclical_conflicting_better_bichon_13,2026-01-13,19.06
cyclical_conflicting_better_bichon_13,2026-01-14,20.03
cyclical_conflicting_better_bichon_13,2026-01-15,18.79
cyclical_conflicting_better_bichon_13,2026-01-16,5.55
cyclical_conflicting_better_bichon_13,2026-01-17,19.56
cyclical_conflicting_better_bichon_13,2026-01-18,19.69
cyclical_conflicting_better_bichon_13,2026-01-19,22.5
cyclical_conflicting_better_bichon_13,2026-01-20,21.3
cyclical_conflicting_better_bichon_13,2026-01-21,4.02
cyclical_conflicting_better_bichon_13,2026-01-22,19.14
cyclical_conflicting_better_bichon_13,2026-01-23,17.52
cyclical_conflicting_better_bichon_13,2026-01-24,16.47
cyclical_conflicting_better_bichon_13,2026-01-25,21.22
cyclical_conflicting_better_bichon_13,2026-01-26,6.6
cyclical_conflicting_better_bichon_13,2026-01-27,16.27
cyclical_conflicting_better_bichon_13,2026-01-28,19.55
cyclical_conflicting_better_bichon_13,2026-01-29,22.26
cyclical_conflicting_better_bichon_13,2026-01-30,20.63
cyclical_conflicting_better_bichon_13,2026-01-31,8.65
cyclical_conflicting_better_bichon_13,2026-02-01,16.76
cyclical_conflicting_better_bichon_13,2026-02-02,18.77
cyclical_conflicting_better_bichon_13,2026-02-03,18.67
cyclical_conflicting_better_bichon_13,2026-02-04,17.8
cyclical_conflicting_better_bichon_13,2026-02-05,3.74
cyclical_conflicting_better_bichon_13,2026-02-06,16.04
cyclical_conflicting_better_bichon_13,2026-02-07,21.08
cyclical_conflicting_better_bichon_13,2026-02-08,21.52
cyclical_conflicting_better_bichon_13,2026-02-09,22.57
cyclical_conflicting_better_bichon_13,2026-02-10,8.77
cyclical_conflicting_better_bichon_13,2026-02-11,18.27
cyclical_conflicting_better_bichon_13,2026-02-12,17.97
cyclical_conflicting_better_bichon_13,2026-02-13,17.41
