pet_id,date,valid_wear_hours
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-01,17.55
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-02,20.83
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-03,19.34
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-04,22.22
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-05,16.21
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-06,21.18
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-07,16.1
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-08,18.34
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-09,16.74
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-10,17.2
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-11,22.57
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-12,21.61
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-13,22.88
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-14,22.81
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-15,16.8
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-16,17.16
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-17,17.18
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-18,19.3
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-19,18.7
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-20,17.32
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-21,22.36
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-22,22.6
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-23,20.89
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-24,17.43
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-25,17.19
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-26,19.85
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-27,21.16
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-28,18.2
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-29,19.49
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-30,18.18
cyclical_long_period_three_cycles_goldenretriever_10,2026-01-31,17.31
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-01,18.34
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-02,20.75
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-03,21.33
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-04,22.76
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-05,21.74
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-06,18.59
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-07,18.27
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-08,19.3
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-09,19.71
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-10,20.35
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-11,20.25
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-12,19.41
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-13,22.81
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-14,17.65
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-15,16.2
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-16,19.28
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-17,21.49
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-18,22.79
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-19,20.13
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-20,16.55
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-21,19.38
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-22,16.3
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-23,19.81
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-24,17.02
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-25,18.77
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-26,18.04
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-27,17.28
cyclical_long_period_three_cycles_goldenretriever_10,2026-02-28,18.65
cyclical_long_period_three_cycles_goldenretriever_10,2026-03-01,17.6
