pet_id,date,valid_wear_hours
cyclical_short_period_severe_maltese_11,2026-01-01,20.28
cyclical_short_period_severe_maltese_11,2026-01-02,16.17
cyclical_short_period_severe_maltese_11,2026-01-03,21.79
cyclical_short_period_severe_maltese_11,2026-01-04,22.62
cyclical_short_period_severe_maltese_11,2026-01-05,20.04
cyclical_short_period_severe_maltese_11,2026-01-06,17.28
cyclical_short_period_severe_maltese_11,2026-01-07,16.86
cyclical_short_period_severe_maltese_11,2026-01-08,17.01
cyclical_short_period_severe_maltese_11,2026-01-09,21.96
cyclical_short_period_severe_maltese_11,2026-01-10,19.76
cyclical_short_period_severe_maltese_11,2026-01-11,18.35
cyclical_short_period_severe_maltese_11,2026-01-12,22.6
cyclical_short_period_severe_maltese_11,2026-01-13,22.35
cyclical_short_period_severe_maltese_11,2026-01-14,21.13
cyclical_short_period_severe_maltese_11,2026-01-15,20.99
cyclical_short_period_severe_maltese_11,2026-01-16,18.3
cyclical_short_period_severe_maltese_11,2026-01-17,17.64
cyclical_short_period_severe_maltese_11,2026-01-18,17.14
cyclical_short_period_severe_maltese_11,2026-01-19,17.91
cyclical_short_period_severe_maltese_11,2026-01-20,20.45
cyclical_short_period_severe_maltese_11,2026-01-21,17.86
cyclical_short_period_severe_maltese_11,2026-01-22,18.9
cyclical_short_period_severe_maltese_11,2026-01-23,22.44
cyclical_short_period_severe_maltese_11,2026-01-24,16.31
cyclical_short_period_severe_maltese_11,2026-01-25,19.07
cyclical_short_period_severe_maltese_11,2026-01-26,19.84
cyclical_short_period_severe_maltese_11,2026-01-27,18.8
cyclical_short_period_severe_maltese_11,2026-01-28,22.58
cyclical_short_period_severe_maltese_11,2026-01-29,20.19
cyclical_short_period_severe_maltese_11,2026-01-30,20.41
cyclical_short_period_severe_maltese_11,2026-01-31,22.63
cyclical_short_period_severe_maltese_11,2026-02-01,16.74
cyclical_short_period_severe_maltese_11,2026-02-02,21.43
cyclical_short_period_severe_maltese_11,2026-02-03,18.66
cyclical_short_period_severe_maltese_11,2026-02-04,22.88
cyclical_short_period_severe_maltese_11,2026-02-05,22.86
cyclical_short_period_severe_maltese_11,2026-02-06,20.4
cyclical_short_period_severe_maltese_11,2026-02-07,17.71
cyclical_short_period_severe_maltese_11,2026-02-08,18.73
cyclical_short_period_severe_maltese_11,2026-02-09,21.15
cyclical_short_period_severe_maltese_11,2026-02-10,19.11
cyclical_short_period_severe_maltese_11,2026-02-11,17.46
cyclical_short_period_severe_maltese_11,2026-02-12,21.75
cyclical_short_period_severe_maltese_11,2026-02-13,19.38
cyclical_short_period_severe_maltese_11,2026-02-14,20.19
