pet_id,date,valid_wear_hours
cyclical_short_period_two_cycles_bichon_09,2026-01-01,19.28
cyclical_short_period_two_cycles_bichon_09,2026-01-02,21.23
cyclical_short_period_two_cycles_bichon_09,2026-01-03,18.46
cyclical_short_period_two_cycles_bichon_09,2026-01-04,16.44
cyclical_short_period_two_cycles_bichon_09,2026-01-05,21.8
cyclical_short_period_two_cycles_bichon_09,2026-01-06,22.83
cyclical_short_period_two_cycles_bichon_09,2026-01-07,20.78
cyclical_short_period_two_cycles_bichon_09,2026-01-08,17.88
cyclical_short_period_two_cycles_bichon_09,2026-01-09,19.86
cyclical_short_period_two_cycles_bichon_09,2026-01-10,21.44
cyclical_short_period_two_cycles_bichon_09,2026-01-11,21.46
cyclical_short_period_two_cycles_bichon_09,2026-01-12,20.49
cyclical_short_period_two_cycles_bichon_09,2026-01-13,22.51
cyclical_short_period_two_cycles_bichon_09,2026-01-14,16.5
cyclical_short_period_two_cycles_bichon_09,2026-01-15,22.01
cyclical_short_period_two_cycles_bichon_09,2026-01-16,20.63
cyclical_short_period_two_cycles_bichon_09,2026-01-17,18.49
cyclical_short_period_two_cycles_bichon_09,2026-01-18,22.36
cyclical_short_period_two_cycles_bichon_09,2026-01-19,16.07
cyclical_short_period_two_cycles_bichon_09,2026-01-20,21.74
cyclical_short_period_two_cycles_bichon_09,2026-01-21,20.06
cyclical_short_period_two_cycles_bichon_09,2026-01-22,16.44
cyclical_short_period_two_cycles_bichon_09,2026-01-23,19.58
cyclical_short_period_two_cycles_bichon_09,2026-01-24,17.04
cyclical_short_period_two_cycles_bichon_09,2026-01-25,20.11
cyclical_short_period_two_cycles_bichon_09,2026-01-26,20.97
cyclical_short_period_two_cycles_bichon_09,2026-01-27,18.14
cyclical_short_period_two_cycles_bichon_09,2026-01-28,19.28
cyclical_short_period_two_cycles_bichon_09,2026-01-29,20.02
cyclical_short_period_two_cycles_bichon_09,2026-01-30,19.11
cyclical_short_period_two_cycles_bichon_09,2026-01-31,20.09
cyclical_short_period_two_cycles_bichon_09,2026-02-01,21.58
cyclical_short_period_two_cycles_bichon_09,2026-02-02,22.75
cyclical_short_period_two_cycles_bichon_09,2026-02-03,19.89
cyclical_short_period_two_cycles_bichon_09,2026-02-04,21.36
cyclical_short_period_two_cycles_bichon_09,2026-02-05,20.55
cyclical_short_period_two_cycles_bichon_09,2026-02-06,18.53
cyclical_short_period_two_cycles_bichon_09,2026-02-07,17.27
cyclical_short_period_two_cycles_bichon_09,2026-02-08,16.41
cyclical_short_period_two_cycles_bichon_09,2026-02-09,20.55
cyclical_short_period_two_cycles_bichon_09,2026-02-10,22.01
cyclical_short_period_two_cycles_bichon_09,2026-02-11,20.31
cyclical_short_period_two_cycles_bichon_09,2026-02-12,22.86
cyclical_short_period_two_cycles_bichon_09,2026-02-13,16.2
cyclical_short_period_two_cycles_bichon_09,2026-02-14,18.93
cyclical_short_period_two_cycles_bichon_09,2026-02-15,20.28
cyclical_short_period_two_cycles_bichon_09,2026-02-16,21.31
cyclical_short_period_two_cycles_bichon_09,2026-02-17,17.39
cyclical_short_period_two_cycles_bichon_09,2026-02-18,20.55
cyclical_short_period_two_cycles_bichon_09,2026-02-19,19.46
