pet_id,date,valid_wear_hours
decline_border_1_3_tianyuan_03,2026-01-01,21.59
decline_border_1_3_tianyuan_03,2026-01-02,21.07
decline_border_1_3_tianyuan_03,2026-01-03,19.37
decline_border_1_3_tianyuan_03,2026-01-04,22.49
decline_border_1_3_tianyuan_03,2026-01-05,18.93
decline_border_1_3_tianyuan_03,2026-01-06,17.15
decline_border_1_3_tianyuan_03,2026-01-07,20.18
decline_border_1_3_tianyuan_03,2026-01-08,20.26
decline_border_1_3_tianyuan_03,2026-01-09,18.55
decline_border_1_3_tianyuan_03,2026-01-10,21.45
decline_border_1_3_tianyuan_03,2026-01-11,21.26
decline_border_1_3_tianyuan_03,2026-01-12,18.48
decline_border_1_3_tianyuan_03,2026-01-13,21.01
decline_border_1_3_tianyuan_03,2026-01-14,17.52
decline_border_1_3_tianyuan_03,2026-01-15,20.8
decline_border_1_3_tianyuan_03,2026-01-16,21.19
decline_border_1_3_tianyuan_03,2026-01-17,22.32
decline_border_1_3_tianyuan_03,2026-01-18,17.99
decline_border_1_3_tianyuan_03,2026-01-19,17.02
decline_border_1_3_tianyuan_03,2026-01-20,18.6
decline_border_1_3_tianyuan_03,2026-01-21,21.27
decline_border_1_3_tianyuan_03,2026-01-22,16.02
decline_border_1_3_tianyuan_03,2026-01-23,16.87
decline_border_1_3_tianyuan_03,2026-01-24,20.37
decline_border_1_3_tianyuan_03,2026-01-25,18.07
decline_border_1_3_tianyuan_03,2026-01-26,18.84
decline_border_1_3_tianyuan_03,2026-01-27,16.56
decline_border_1_3_tianyuan_03,2026-01-28,20.86
decline_border_1_3_tianyuan_03,2026-01-29,18.13
decline_border_1_3_tianyuan_03,2026-01-30,21.31
decline_border_1_3_tianyuan_03,2026-01-31,18.34
decline_border_1_3_tianyuan_03,2026-02-01,17.56
decline_border_1_3_tianyuan_03,2026-02-02,20.61
decline_border_1_3_tianyuan_03,2026-02-03,17.13
decline_border_1_3_tianyuan_03,2026-02-04,21.99
decline_border_1_3_tianyuan_03,2026-02-05,21.81
decline_border_1_3_tianyuan_03,2026-02-06,22.62
decline_border_1_3_tianyuan_03,2026-02-07,19.48
