pet_id,date,valid_wear_hours
decline_fast_recovery_bichon_02,2026-01-01,20.65
decline_fast_recovery_bichon_02,2026-01-02,21.92
decline_fast_recovery_bichon_02,2026-01-03,19.75
decline_fast_recovery_bichon_02,2026-01-04,22.08
decline_fast_recovery_bichon_02,2026-01-05,20.99
decline_fast_recovery_bichon_02,2026-01-06,18.69
decline_fast_recovery_bichon_02,2026-01-07,17.1
decline_fast_recovery_bichon_02,2026-01-08,19.68
decline_fast_recovery_bichon_02,2026-01-09,17.95
decline_fast_recovery_bichon_02,2026-01-10,19.44
decline_fast_recovery_bichon_02,2026-01-11,21.13
decline_fast_recovery_bichon_02,2026-01-12,21.14
decline_fast_recovery_bichon_02,2026-01-13,20.1
decline_fast_recovery_bichon_02,2026-01-14,17.47
decline_fast_recovery_bichon_02,2026-01-15,22.85
decline_fast_recovery_bichon_02,2026-01-16,21.93
decline_fast_recovery_bichon_02,2026-01-17,19.93
decline_fast_recovery_bichon_02,2026-01-18,20.47
decline_fast_recovery_bichon_02,2026-01-19,16.71
decline_fast_recovery_bichon_02,2026-01-20,19.85
decline_fast_recovery_bichon_02,2026-01-21,22.99
decline_fast_recovery_bichon_02,2026-01-22,20.96
decline_fast_recovery_bichon_02,2026-01-23,21.86
decline_fast_recovery_bichon_02,2026-01-24,20.13
decline_fast_recovery_bichon_02,2026-01-25,17.63
decline_fast_recovery_bichon_02,2026-01-26,16.45
decline_fast_recovery_bichon_02,2026-01-27,21.11
decline_fast_recovery_bichon_02,2026-01-28,17.06
decline_fast_recovery_bichon_02,2026-01-29,19.7
decline_fast_recovery_bichon_02,2026-01-30,21.18
decline_fast_recovery_bichon_02,2026-01-31,19.01
decline_fast_recovery_bichon_02,2026-02-01,20.24
decline_fast_recovery_bichon_02,2026-02-02,16.69
decline_fast_recovery_bichon_02,2026-02-03,22.26
decline_fast_recovery_bichon_02,2026-02-04,22.6
decline_fast_recovery_bichon_02,2026-02-05,21.23
decline_fast_recovery_bichon_02,2026-02-06,17.18
decline_fast_recovery_bichon_02,2026-02-07,16.34
decline_fast_recovery_bichon_02,2026-02-08,22.04
decline_fast_recovery_bichon_02,2026-02-09,19.54
