pet_id,date,valid_wear_hours
decline_incomplete_maltese_03,2026-01-01,19.34
decline_incomplete_maltese_03,2026-01-02,18.12
decline_incomplete_maltese_03,2026-01-03,21.92
decline_incomplete_maltese_03,2026-01-04,18.88
decline_incomplete_maltese_03,2026-01-05,18.8
decline_incomplete_maltese_03,2026-01-06,20.31
decline_incomplete_maltese_03,2026-01-07,17.62
decline_incomplete_maltese_03,2026-01-08,19.92
decline_incomplete_maltese_03,2026-01-09,21.34
decline_incomplete_maltese_03,2026-01-10,22.54
decline_incomplete_maltese_03,2026-01-11,16.73
decline_incomplete_maltese_03,2026-01-12,22.94
decline_incomplete_maltese_03,2026-01-13,18.53
decline_incomplete_maltese_03,2026-01-14,18.37
decline_incomplete_maltese_03,2026-01-15,20.62
decline_incomplete_maltese_03,2026-01-16,16.12
decline_incomplete_maltese_03,2026-01-17,19.58
decline_incomplete_maltese_03,2026-01-18,18.75
decline_incomplete_maltese_03,2026-01-19,16.14
decline_incomplete_maltese_03,2026-01-20,17.09
decline_incomplete_maltese_03,2026-01-21,22.97
decline_incomplete_maltese_03,2026-01-22,16.95
decline_incomplete_maltese_03,2026-01-23,19.35
decline_incomplete_maltese_03,2026-01-24,21.21
decline_incomplete_maltese_03,2026-01-25,20.5
decline_incomplete_maltese_03,2026-01-26,19.5
decline_incomplete_maltese_03,2026-01-27,21.02
decline_incomplete_maltese_03,2026-01-28,20.06
decline_incomplete_maltese_03,2026-01-29,16.91
decline_incomplete_maltese_03,2026-01-30,22.98
decline_incomplete_maltese_03,2026-01-31,17.75
decline_incomplete_maltese_03,2026-02-01,19.45
decline_incomplete_maltese_03,2026-02-02,18.8
decline_incomplete_maltese_03,2026-02-03,18.77
decline_incomplete_maltese_03,2026-02-04,20.11
decline_incomplete_maltese_03,2026-02-05,19.66
