pet_id,date,valid_wear_hours
decline_moderate_recovery_goldendoodle_03,2026-01-01,21.2
decline_moderate_recovery_goldendoodle_03,2026-01-02,21.63
decline_moderate_recovery_goldendoodle_03,2026-01-03,18.19
decline_moderate_recovery_goldendoodle_03,2026-01-04,18.05
decline_moderate_recovery_goldendoodle_03,2026-01-05,22.06
decline_moderate_recovery_goldendoodle_03,2026-01-06,16.5
decline_moderate_recovery_goldendoodle_03,2026-01-07,20.33
decline_moderate_recovery_goldendoodle_03,2026-01-08,16.53
decline_moderate_recovery_goldendoodle_03,2026-01-09,21.74
decline_moderate_recovery_goldendoodle_03,2026-01-10,16.91
decline_moderate_recovery_goldendoodle_03,2026-01-11,21.61
decline_moderate_recovery_goldendoodle_03,2026-01-12,22.46
decline_moderate_recovery_goldendoodle_03,2026-01-13,21.86
decline_moderate_recovery_goldendoodle_03,2026-01-14,18.77
decline_moderate_recovery_goldendoodle_03,2026-01-15,21.79
decline_moderate_recovery_goldendoodle_03,2026-01-16,21.38
decline_moderate_recovery_goldendoodle_03,2026-01-17,21.29
decline_moderate_recovery_goldendoodle_03,2026-01-18,20.76
decline_moderate_recovery_goldendoodle_03,2026-01-19,20.82
decline_moderate_recovery_goldendoodle_03,2026-01-20,18.97
decline_moderate_recovery_goldendoodle_03,2026-01-21,22.52
decline_moderate_recovery_goldendoodle_03,2026-01-22,16.41
decline_moderate_recovery_goldendoodle_03,2026-01-23,16.14
decline_moderate_recovery_goldendoodle_03,2026-01-24,18.82
decline_moderate_recovery_goldendoodle_03,2026-01-25,18.5
decline_moderate_recovery_goldendoodle_03,2026-01-26,21.29
decline_moderate_recovery_goldendoodle_03,2026-01-27,16.18
decline_moderate_recovery_goldendoodle_03,2026-01-28,22.97
decline_moderate_recovery_goldendoodle_03,2026-01-29,16.39
decline_moderate_recovery_goldendoodle_03,2026-01-30,20.1
decline_moderate_recovery_goldendoodle_03,2026-01-31,20.18
decline_moderate_recovery_goldendoodle_03,2026-02-01,22.16
decline_moderate_recovery_goldendoodle_03,2026-02-02,17.6
decline_moderate_recovery_goldendoodle_03,2026-02-03,22.27
decline_moderate_recovery_goldendoodle_03,2026-02-04,17.05
decline_moderate_recovery_goldendoodle_03,2026-02-05,18.01
decline_moderate_recovery_goldendoodle_03,2026-02-06,20.55
decline_moderate_recovery_goldendoodle_03,2026-02-07,18.81
decline_moderate_recovery_goldendoodle_03,2026-02-08,20.25
decline_moderate_recovery_goldendoodle_03,2026-02-09,16.19
decline_moderate_recovery_goldendoodle_03,2026-02-10,19.94
decline_moderate_recovery_goldendoodle_03,2026-02-11,22.94
