pet_id,date,valid_wear_hours
high_baseline_mild_bump_maltese_05,2026-01-01,18.98
high_baseline_mild_bump_maltese_05,2026-01-02,20.69
high_baseline_mild_bump_maltese_05,2026-01-03,18.17
high_baseline_mild_bump_maltese_05,2026-01-04,22.89
high_baseline_mild_bump_maltese_05,2026-01-05,18.96
high_baseline_mild_bump_maltese_05,2026-01-06,18.32
high_baseline_mild_bump_maltese_05,2026-01-07,17.25
high_baseline_mild_bump_maltese_05,2026-01-08,16.13
high_baseline_mild_bump_maltese_05,2026-01-09,22.24
high_baseline_mild_bump_maltese_05,2026-01-10,20.18
high_baseline_mild_bump_maltese_05,2026-01-11,21.99
high_baseline_mild_bump_maltese_05,2026-01-12,16.72
high_baseline_mild_bump_maltese_05,2026-01-13,18.47
high_baseline_mild_bump_maltese_05,2026-01-14,17.92
high_baseline_mild_bump_maltese_05,2026-01-15,17.74
high_baseline_mild_bump_maltese_05,2026-01-16,22.77
high_baseline_mild_bump_maltese_05,2026-01-17,17.12
high_baseline_mild_bump_maltese_05,2026-01-18,18.36
high_baseline_mild_bump_maltese_05,2026-01-19,20.02
high_baseline_mild_bump_maltese_05,2026-01-20,21.15
high_baseline_mild_bump_maltese_05,2026-01-21,20.69
high_baseline_mild_bump_maltese_05,2026-01-22,20.18
high_baseline_mild_bump_maltese_05,2026-01-23,22.18
high_baseline_mild_bump_maltese_05,2026-01-24,16.63
high_baseline_mild_bump_maltese_05,2026-01-25,18.07
high_baseline_mild_bump_maltese_05,2026-01-26,19.2
high_baseline_mild_bump_maltese_05,2026-01-27,16.79
high_baseline_mild_bump_maltese_05,2026-01-28,16.73
high_baseline_mild_bump_maltese_05,2026-01-29,19.3
high_baseline_mild_bump_maltese_05,2026-01-30,17.59
high_baseline_mild_bump_maltese_05,2026-01-31,19.8
high_baseline_mild_bump_maltese_05,2026-02-01,16.72
high_baseline_mild_bump_maltese_05,2026-02-02,18.86
high_baseline_mild_bump_maltese_05,2026-02-03,19.7
high_baseline_mild_bump_maltese_05,2026-02-04,19.88
high_baseline_mild_bump_maltese_05,2026-02-05,17.43
high_baseline_mild_bump_maltese_05,2026-02-06,19.0
high_baseline_mild_bump_maltese_05,2026-02-07,19.44
