pet_id,date,valid_wear_hours
high_noise_dispersion_bichon_04,2026-01-01,16.33
high_noise_dispersion_bichon_04,2026-01-02,16.36
high_noise_dispersion_bichon_04,2026-01-03,21.85
high_noise_dispersion_bichon_04,2026-01-04,20.29
high_noise_dispersion_bichon_04,2026-01-05,22.17
high_noise_dispersion_bichon_04,2026-01-06,16.83
high_noise_dispersion_bichon_04,2026-01-07,16.63
high_noise_dispersion_bichon_04,2026-01-08,17.25
high_noise_dispersion_bichon_04,2026-01-09,16.73
high_noise_dispersion_bichon_04,2026-01-10,17.14
high_noise_dispersion_bichon_04,2026-01-11,19.94
high_noise_dispersion_bichon_04,2026-01-12,16.12
high_noise_dispersion_bichon_04,2026-01-13,21.71
high_noise_dispersion_bichon_04,2026-01-14,20.26
high_noise_dispersion_bichon_04,2026-01-15,21.19
high_noise_dispersion_bichon_04,2026-01-16,16.8
high_noise_dispersion_bichon_04,2026-01-17,22.68
high_noise_dispersion_bichon_04,2026-01-18,18.18
high_noise_dispersion_bichon_04,2026-01-19,20.1
high_noise_dispersion_bichon_04,2026-01-20,18.98
high_noise_dispersion_bichon_04,2026-01-21,18.65
high_noise_dispersion_bichon_04,2026-01-22,20.04
high_noise_dispersion_bichon_04,2026-01-23,20.02
high_noise_dispersion_bichon_04,2026-01-24,21.25
high_noise_dispersion_bichon_04,2026-01-25,20.63
high_noise_dispersion_bichon_04,2026-01-26,21.36
high_noise_dispersion_bichon_04,2026-01-27,22.29
high_noise_dispersion_bichon_04,2026-01-28,21.34
high_noise_dispersion_bichon_04,2026-01-29,17.33
high_noise_dispersion_bichon_04,2026-01-30,18.84
high_noise_dispersion_bichon_04,2026-01-31,17.53
high_noise_dispersion_bichon_04,2026-02-01,21.17
high_noise_dispersion_bichon_04,2026-02-02,20.71
high_noise_dispersion_bichon_04,2026-02-03,17.48
high_noise_dispersion_bichon_04,2026-02-04,16.35
high_noise_dispersion_bichon_04,2026-02-05,17.08
high_noise_dispersion_bichon_04,2026-02-06,20.94
high_noise_dispersion_bichon_04,2026-02-07,19.86
high_noise_dispersion_bichon_04,2026-02-08,22.48
high_noise_dispersion_bichon_04,2026-02-09,21.12
high_noise_dispersion_bichon_04,2026-02-10,17.42
high_noise_dispersion_bichon_04,2026-02-11,18.05
