pet_id,date,valid_wear_hours
high_noise_high_baseline_goldendoodle_10,2026-01-01,6.34
high_noise_high_baseline_goldendoodle_10,2026-01-02,17.37
high_noise_high_baseline_goldendoodle_10,2026-01-03,16.7
high_noise_high_baseline_goldendoodle_10,2026-01-04,21.66
high_noise_high_baseline_goldendoodle_10,2026-01-05,16.58
high_noise_high_baseline_goldendoodle_10,2026-01-06,6.34
high_noise_high_baseline_goldendoodle_10,2026-01-07,17.35
high_noise_high_baseline_goldendoodle_10,2026-01-08,20.14
high_noise_high_baseline_goldendoodle_10,2026-01-09,19.1
high_noise_high_baseline_goldendoodle_10,2026-01-10,18.7
high_noise_high_baseline_goldendoodle_10,2026-01-11,2.17
high_noise_high_baseline_goldendoodle_10,2026-01-12,20.84
high_noise_high_baseline_goldendoodle_10,2026-01-13,17.24
high_noise_high_baseline_goldendoodle_10,2026-01-14,18.81
high_noise_high_baseline_goldendoodle_10,2026-01-15,16.66
high_noise_high_baseline_goldendoodle_10,2026-01-16,6.25
high_noise_high_baseline_goldendoodle_10,2026-01-17,18.19
high_noise_high_baseline_goldendoodle_10,2026-01-18,22.67
high_noise_high_baseline_goldendoodle_10,2026-01-19,16.24
high_noise_high_baseline_goldendoodle_10,2026-01-20,16.18
high_noise_high_baseline_goldendoodle_10,2026-01-21,4.29
high_noise_high_baseline_goldendoodle_10,2026-01-22,16.43
high_noise_high_baseline_goldendoodle_10,2026-01-23,22.4
high_noise_high_baseline_goldendoodle_10,2026-01-24,21.88
high_noise_high_baseline_goldendoodle_10,2026-01-25,20.92
high_noise_high_baseline_goldendoodle_10,2026-01-26,7.71
high_noise_high_baseline_goldendoodle_10,2026-01-27,18.5
high_noise_high_baseline_goldendoodle_10,2026-01-28,19.8
high_noise_high_baseline_goldendoodle_10,2026-01-29,16.23
high_noise_high_baseline_goldendoodle_10,2026-01-30,16.08
high_noise_high_baseline_goldendoodle_10,2026-01-31,5.33
high_noise_high_baseline_goldendoodle_10,2026-02-01,21.81
high_noise_high_baseline_goldendoodle_10,2026-02-02,18.79
high_noise_high_baseline_goldendoodle_10,2026-02-03,19.89
high_noise_high_baseline_goldendoodle_10,2026-02-04,18.5
high_noise_high_baseline_goldendoodle_10,2026-02-05,8.99
high_noise_high_baseline_goldendoodle_10,2026-02-06,19.5
high_noise_high_baseline_goldendoodle_10,2026-02-07,18.03
high_noise_high_baseline_goldendoodle_10,2026-02-08,17.56
high_noise_high_baseline_goldendoodle_10,2026-02-09,20.13
high_noise_high_baseline_goldendoodle_10,2026-02-10,2.33
high_noise_high_baseline_goldendoodle_10,2026-02-11,21.53
high_noise_high_baseline_goldendoodle_10,2026-02-12,18.06
high_noise_high_baseline_goldendoodle_10,2026-02-13,17.99
high_noise_high_baseline_goldendoodle_10,2026-02-14,16.7
