pet_id,date,valid_wear_hours
low_baseline_high_noise_bichon_12,2026-01-01,22.11
low_baseline_high_noise_bichon_12,2026-01-02,21.1
low_baseline_high_noise_bichon_12,2026-01-03,19.32
low_baseline_high_noise_bichon_12,2026-01-04,20.8
low_baseline_high_noise_bichon_12,2026-01-05,22.77
low_baseline_high_noise_bichon_12,2026-01-06,22.03
low_baseline_high_noise_bichon_12,2026-01-07,20.81
low_baseline_high_noise_bichon_12,2026-01-08,20.09
low_baseline_high_noise_bichon_12,2026-01-09,19.45
low_baseline_high_noise_bichon_12,2026-01-10,16.7
low_baseline_high_noise_bichon_12,2026-01-11,17.57
low_baseline_high_noise_bichon_12,2026-01-12,21.43
low_baseline_high_noise_bichon_12,2026-01-13,22.55
low_baseline_high_noise_bichon_12,2026-01-14,18.79
low_baseline_high_noise_bichon_12,2026-01-15,22.52
low_baseline_high_noise_bichon_12,2026-01-16,20.77
low_baseline_high_noise_bichon_12,2026-01-17,18.95
low_baseline_high_noise_bichon_12,2026-01-18,22.72
low_baseline_high_noise_bichon_12,2026-01-19,21.52
low_baseline_high_noise_bichon_12,2026-01-20,21.51
low_baseline_high_noise_bichon_12,2026-01-21,20.74
low_baseline_high_noise_bichon_12,2026-01-22,20.51
low_baseline_high_noise_bichon_12,2026-01-23,19.77
low_baseline_high_noise_bichon_12,2026-01-24,22.18
low_baseline_high_noise_bichon_12,2026-01-25,20.24
low_baseline_high_noise_bichon_12,2026-01-26,21.6
low_baseline_high_noise_bichon_12,2026-01-27,21.08
low_baseline_high_noise_bichon_12,2026-01-28,20.19
low_baseline_high_noise_bichon_12,2026-01-29,19.15
low_baseline_high_noise_bichon_12,2026-01-30,20.18
low_baseline_high_noise_bichon_12,2026-01-31,18.68
low_baseline_high_noise_bichon_12,2026-02-01,17.69
low_baseline_high_noise_bichon_12,2026-02-02,20.93
low_baseline_high_noise_bichon_12,2026-02-03,20.14
