pet_id,date,valid_wear_hours
low_baseline_moderate_dog_goldendoodle_06,2026-01-01,21.69
low_baseline_moderate_dog_goldendoodle_06,2026-01-02,17.42
low_baseline_moderate_dog_goldendoodle_06,2026-01-03,21.01
low_baseline_moderate_dog_goldendoodle_06,2026-01-04,16.38
low_baseline_moderate_dog_goldendoodle_06,2026-01-05,17.87
low_baseline_moderate_dog_goldendoodle_06,2026-01-06,21.14
low_baseline_moderate_dog_goldendoodle_06,2026-01-07,19.66
low_baseline_moderate_dog_goldendoodle_06,2026-01-08,19.28
low_baseline_moderate_dog_goldendoodle_06,2026-01-09,19.53
low_baseline_moderate_dog_goldendoodle_06,2026-01-10,20.19
low_baseline_moderate_dog_goldendoodle_06,2026-01-11,19.28
low_baseline_moderate_dog_goldendoodle_06,2026-01-12,16.61
low_baseline_moderate_dog_goldendoodle_06,2026-01-13,20.36
low_baseline_moderate_dog_goldendoodle_06,2026-01-14,19.89
low_baseline_moderate_dog_goldendoodle_06,2026-01-15,21.41
low_baseline_moderate_dog_goldendoodle_06,2026-01-16,17.82
low_baseline_moderate_dog_goldendoodle_06,2026-01-17,16.45
low_baseline_moderate_dog_goldendoodle_06,2026-01-18,20.94
low_baseline_moderate_dog_goldendoodle_06,2026-01-19,18.25
low_baseline_moderate_dog_goldendoodle_06,2026-01-20,16.59
low_baseline_moderate_dog_goldendoodle_06,2026-01-21,18.76
low_baseline_moderate_dog_goldendoodle_06,2026-01-22,22.32
low_baseline_moderate_dog_goldendoodle_06,2026-01-23,20.66
low_baseline_moderate_dog_goldendoodle_06,2026-01-24,16.91
low_baseline_moderate_dog_goldendoodle_06,2026-01-25,16.39
low_baseline_moderate_dog_goldendoodle_06,2026-01-26,21.45
low_baseline_moderate_dog_goldendoodle_06,2026-01-27,22.56
low_baseline_moderate_dog_goldendoodle_06,2026-01-28,20.84
low_baseline_moderate_dog_goldendoodle_06,2026-01-29,22.62
low_baseline_moderate_dog_goldendoodle_06,2026-01-30,19.88
low_baseline_moderate_dog_goldendoodle_06,2026-01-31,18.49
low_baseline_moderate_dog_goldendoodle_06,2026-02-01,22.1
low_baseline_moderate_dog_goldendoodle_06,2026-02-02,21.82
low_baseline_moderate_dog_goldendoodle_06,2026-02-03,22.65
low_baseline_moderate_dog_goldendoodle_06,2026-02-04,17.51
low_baseline_moderate_dog_goldendoodle_06,2026-02-05,20.39
