pet_id,date,valid_wear_hours
low_noise_dispersion_maltese_09,2026-01-01,16.93
low_noise_dispersion_maltese_09,2026-01-02,21.61
low_noise_dispersion_maltese_09,2026-01-03,22.48
low_noise_dispersion_maltese_09,2026-01-04,17.68
low_noise_dispersion_maltese_09,2026-01-05,21.61
low_noise_dispersion_maltese_09,2026-01-06,20.1
low_noise_dispersion_maltese_09,2026-01-07,22.98
low_noise_dispersion_maltese_09,2026-01-08,21.7
low_noise_dispersion_maltese_09,2026-01-09,18.7
low_noise_dispersion_maltese_09,2026-01-10,18.86
low_noise_dispersion_maltese_09,2026-01-11,19.87
low_noise_dispersion_maltese_09,2026-01-12,20.48
low_noise_dispersion_maltese_09,2026-01-13,18.31
low_noise_dispersion_maltese_09,2026-01-14,18.72
low_noise_dispersion_maltese_09,2026-01-15,22.12
low_noise_dispersion_maltese_09,2026-01-16,20.31
low_noise_dispersion_maltese_09,2026-01-17,16.48
low_noise_dispersion_maltese_09,2026-01-18,21.5
low_noise_dispersion_maltese_09,2026-01-19,21.08
low_noise_dispersion_maltese_09,2026-01-20,22.34
low_noise_dispersion_maltese_09,2026-01-21,19.07
low_noise_dispersion_maltese_09,2026-01-22,20.03
low_noise_dispersion_maltese_09,2026-01-23,22.91
low_noise_dispersion_maltese_09,2026-01-24,16.61
low_noise_dispersion_maltese_09,2026-01-25,19.35
low_noise_dispersion_maltese_09,2026-01-26,18.98
low_noise_dispersion_maltese_09,2026-01-27,17.21
low_noise_dispersion_maltese_09,2026-01-28,20.77
low_noise_dispersion_maltese_09,2026-01-29,20.61
low_noise_dispersion_maltese_09,2026-01-30,17.64
low_noise_dispersion_maltese_09,2026-01-31,17.36
low_noise_dispersion_maltese_09,2026-02-01,17.61
low_noise_dispersion_maltese_09,2026-02-02,21.97
