pet_id,date,valid_wear_hours
medium_baseline_loose_collar_maltese_13,2026-01-01,17.72
medium_baseline_loose_collar_maltese_13,2026-01-02,17.52
medium_baseline_loose_collar_maltese_13,2026-01-03,10.77
medium_baseline_loose_collar_maltese_13,2026-01-04,17.85
medium_baseline_loose_collar_maltese_13,2026-01-05,17.76
medium_baseline_loose_collar_maltese_13,2026-01-06,22.05
medium_baseline_loose_collar_maltese_13,2026-01-07,22.24
medium_baseline_loose_collar_maltese_13,2026-01-08,19.2
medium_baseline_loose_collar_maltese_13,2026-01-09,20.59
medium_baseline_loose_collar_maltese_13,2026-01-10,11.4
medium_baseline_loose_collar_maltese_13,2026-01-11,22.69
medium_baseline_loose_collar_maltese_13,2026-01-12,17.16
medium_baseline_loose_collar_maltese_13,2026-01-13,19.94
medium_baseline_loose_collar_maltese_13,2026-01-14,18.02
medium_baseline_loose_collar_maltese_13,2026-01-15,22.74
medium_baseline_loose_collar_maltese_13,2026-01-16,19.89
medium_baseline_loose_collar_maltese_13,2026-01-17,12.09
medium_baseline_loose_collar_maltese_13,2026-01-18,17.4
medium_baseline_loose_collar_maltese_13,2026-01-19,16.22
medium_baseline_loose_collar_maltese_13,2026-01-20,16.09
medium_baseline_loose_collar_maltese_13,2026-01-21,19.3
medium_baseline_loose_collar_maltese_13,2026-01-22,17.79
medium_baseline_loose_collar_maltese_13,2026-01-23,22.71
medium_baseline_loose_collar_maltese_13,2026-01-24,11.95
medium_baseline_loose_collar_maltese_13,2026-01-25,17.57
medium_baseline_loose_collar_maltese_13,2026-01-26,19.22
medium_baseline_loose_collar_maltese_13,2026-01-27,22.86
medium_baseline_loose_collar_maltese_13,2026-01-28,20.8
medium_baseline_loose_collar_maltese_13,2026-01-29,22.23
medium_baseline_loose_collar_maltese_13,2026-01-30,16.94
medium_baseline_loose_collar_maltese_13,2026-01-31,11.34
medium_baseline_loose_collar_maltese_13,2026-02-01,20.74
medium_baseline_loose_collar_maltese_13,2026-02-02,18.17
medium_baseline_loose_collar_maltese_13,2026-02-03,17.24
medium_baseline_loose_collar_maltese_13,2026-02-04,22.94
medium_baseline_loose_collar_maltese_13,2026-02-05,20.43
medium_baseline_loose_collar_maltese_13,2026-02-06,22.91
medium_baseline_loose_collar_maltese_13,2026-02-07,12.16
medium_baseline_loose_collar_maltese_13,2026-02-08,19.19
