pet_id,date,valid_wear_hours
off_body_gap_masking_ramp_onset_04,2026-01-01,18.31
off_body_gap_masking_ramp_onset_04,2026-01-02,22.72
off_body_gap_masking_ramp_onset_04,2026-01-03,20.69
off_body_gap_masking_ramp_onset_04,2026-01-04,0.0
off_body_gap_masking_ramp_onset_04,2026-01-05,0.0
off_body_gap_masking_ramp_onset_04,2026-01-06,22.2
off_body_gap_masking_ramp_onset_04,2026-01-07,18.24
off_body_gap_masking_ramp_onset_04,2026-01-08,19.0
off_body_gap_masking_ramp_onset_04,2026-01-09,16.55
off_body_gap_masking_ramp_onset_04,2026-01-10,18.01
off_body_gap_masking_ramp_onset_04,2026-01-11,22.85
off_body_gap_masking_ramp_onset_04,2026-01-12,22.94
off_body_gap_masking_ramp_onset_04,2026-01-13,0.0
off_body_gap_masking_ramp_onset_04,2026-01-14,0.0
off_body_gap_masking_ramp_onset_04,2026-01-15,17.66
off_body_gap_masking_ramp_onset_04,2026-01-16,18.0
off_body_gap_masking_ramp_onset_04,2026-01-17,21.55
off_body_gap_masking_ramp_onset_04,2026-01-18,22.72
off_body_gap_masking_ramp_onset_04,2026-01-19,20.23
off_body_gap_masking_ramp_onset_04,2026-01-20,21.51
off_body_gap_masking_ramp_onset_04,2026-01-21,22.41
off_body_gap_masking_ramp_onset_04,2026-01-22,0.0
off_body_gap_masking_ramp_onset_04,2026-01-23,0.0
off_body_gap_masking_ramp_onset_04,2026-01-24,19.69
off_body_gap_masking_ramp_onset_04,2026-01-25,16.49
off_body_gap_masking_ramp_onset_04,2026-01-26,21.0
off_body_gap_masking_ramp_onset_04,2026-01-27,18.0
off_body_gap_masking_ramp_onset_04,2026-01-28,22.17
off_body_gap_masking_ramp_onset_04,2026-01-29,22.54
off_body_gap_masking_ramp_onset_04,2026-01-30,21.86
off_body_gap_masking_ramp_onset_04,2026-01-31,0.0
off_body_gap_masking_ramp_onset_04,2026-02-01,0.0
off_body_gap_masking_ramp_onset_04,2026-02-02,17.77
off_body_gap_masking_ramp_onset_04,2026-02-03,21.18
off_body_gap_masking_ramp_onset_04,2026-02-04,22.59
off_body_gap_masking_ramp_onset_04,2026-02-05,16.58
off_body_gap_masking_ramp_onset_04,2026-02-06,22.08
off_body_gap_masking_ramp_onset_04,2026-02-07,16.29
off_body_gap_masking_ramp_onset_04,2026-02-08,17.02
off_body_gap_masking_ramp_onset_04,2026-02-09,0.0
