pet_id,date,valid_wear_hours
partial_wear_borderline_severity_05,2026-01-01,8.95
partial_wear_borderline_severity_05,2026-01-02,22.26
partial_wear_borderline_severity_05,2026-01-03,16.08
partial_wear_borderline_severity_05,2026-01-04,18.43
partial_wear_borderline_severity_05,2026-01-05,21.67
partial_wear_borderline_severity_05,2026-01-06,4.83
partial_wear_borderline_severity_05,2026-01-07,19.37
partial_wear_borderline_severity_05,2026-01-08,22.33
partial_wear_borderline_severity_05,2026-01-09,21.28
partial_wear_borderline_severity_05,2026-01-10,19.08
partial_wear_borderline_severity_05,2026-01-11,6.43
partial_wear_borderline_severity_05,2026-01-12,20.18
partial_wear_borderline_severity_05,2026-01-13,22.23
partial_wear_borderline_severity_05,2026-01-14,17.45
partial_wear_borderline_severity_05,2026-01-15,18.54
partial_wear_borderline_severity_05,2026-01-16,3.66
partial_wear_borderline_severity_05,2026-01-17,17.05
partial_wear_borderline_severity_05,2026-01-18,17.5
partial_wear_borderline_severity_05,2026-01-19,18.94
partial_wear_borderline_severity_05,2026-01-20,20.68
partial_wear_borderline_severity_05,2026-01-21,5.86
partial_wear_borderline_severity_05,2026-01-22,19.12
partial_wear_borderline_severity_05,2026-01-23,22.32
partial_wear_borderline_severity_05,2026-01-24,21.43
partial_wear_borderline_severity_05,2026-01-25,22.67
partial_wear_borderline_severity_05,2026-01-26,4.48
partial_wear_borderline_severity_05,2026-01-27,18.87
partial_wear_borderline_severity_05,2026-01-28,19.88
partial_wear_borderline_severity_05,2026-01-29,19.03
partial_wear_borderline_severity_05,2026-01-30,19.19
partial_wear_borderline_severity_05,2026-01-31,4.6
partial_wear_borderline_severity_05,2026-02-01,18.36
