pet_id,date,valid_wear_hours
partial_wear_spike_recover_edge_10,2026-01-01,5.09
partial_wear_spike_recover_edge_10,2026-01-02,18.23
partial_wear_spike_recover_edge_10,2026-01-03,16.88
partial_wear_spike_recover_edge_10,2026-01-04,21.94
partial_wear_spike_recover_edge_10,2026-01-05,18.83
partial_wear_spike_recover_edge_10,2026-01-06,4.1
partial_wear_spike_recover_edge_10,2026-01-07,18.57
partial_wear_spike_recover_edge_10,2026-01-08,16.45
partial_wear_spike_recover_edge_10,2026-01-09,16.23
partial_wear_spike_recover_edge_10,2026-01-10,18.51
partial_wear_spike_recover_edge_10,2026-01-11,6.23
partial_wear_spike_recover_edge_10,2026-01-12,22.15
partial_wear_spike_recover_edge_10,2026-01-13,17.28
partial_wear_spike_recover_edge_10,2026-01-14,17.53
partial_wear_spike_recover_edge_10,2026-01-15,20.42
partial_wear_spike_recover_edge_10,2026-01-16,6.6
partial_wear_spike_recover_edge_10,2026-01-17,22.4
partial_wear_spike_recover_edge_10,2026-01-18,18.03
partial_wear_spike_recover_edge_10,2026-01-19,22.16
partial_wear_spike_recover_edge_10,2026-01-20,18.03
partial_wear_spike_recover_edge_10,2026-01-21,8.75
partial_wear_spike_recover_edge_10,2026-01-22,18.09
partial_wear_spike_recover_edge_10,2026-01-23,16.58
partial_wear_spike_recover_edge_10,2026-01-24,19.84
partial_wear_spike_recover_edge_10,2026-01-25,18.06
partial_wear_spike_recover_edge_10,2026-01-26,3.3
partial_wear_spike_recover_edge_10,2026-01-27,18.99
partial_wear_spike_recover_edge_10,2026-01-28,21.19
partial_wear_spike_recover_edge_10,2026-01-29,20.64
partial_wear_spike_recover_edge_10,2026-01-30,17.44
partial_wear_spike_recover_edge_10,2026-01-31,3.16
partial_wear_spike_recover_edge_10,2026-02-01,18.77
partial_wear_spike_recover_edge_10,2026-02-02,18.34
partial_wear_spike_recover_edge_10,2026-02-03,18.99
partial_wear_spike_recover_edge_10,2026-02-04,19.19
partial_wear_spike_recover_edge_10,2026-02-05,2.58
