pet_id,date,valid_wear_hours
questionnaire_conflict_better_boundary_bichon_14,2026-01-01,19.81
questionnaire_conflict_better_boundary_bichon_14,2026-01-02,19.57
questionnaire_conflict_better_boundary_bichon_14,2026-01-03,10.85
questionnaire_conflict_better_boundary_bichon_14,2026-01-04,22.98
questionnaire_conflict_better_boundary_bichon_14,2026-01-05,18.8
questionnaire_conflict_better_boundary_bichon_14,2026-01-06,21.19
questionnaire_conflict_better_boundary_bichon_14,2026-01-07,19.82
questionnaire_conflict_better_boundary_bichon_14,2026-01-08,17.08
questionnaire_conflict_better_boundary_bichon_14,2026-01-09,16.13
questionnaire_conflict_better_boundary_bichon_14,2026-01-10,9.99
questionnaire_conflict_better_boundary_bichon_14,2026-01-11,19.5
questionnaire_conflict_better_boundary_bichon_14,2026-01-12,20.14
questionnaire_conflict_better_boundary_bichon_14,2026-01-13,16.62
questionnaire_conflict_better_boundary_bichon_14,2026-01-14,20.13
questionnaire_conflict_better_boundary_bichon_14,2026-01-15,19.68
questionnaire_conflict_better_boundary_bichon_14,2026-01-16,22.07
questionnaire_conflict_better_boundary_bichon_14,2026-01-17,13.87
questionnaire_conflict_better_boundary_bichon_14,2026-01-18,22.49
questionnaire_conflict_better_boundary_bichon_14,2026-01-19,22.33
questionnaire_conflict_better_boundary_bichon_14,2026-01-20,17.12
questionnaire_conflict_better_boundary_bichon_14,2026-01-21,17.68
questionnaire_conflict_better_boundary_bichon_14,2026-01-22,18.51
questionnaire_conflict_better_boundary_bichon_14,2026-01-23,22.11
questionnaire_conflict_better_boundary_bichon_14,2026-01-24,10.96
questionnaire_conflict_better_boundary_bichon_14,2026-01-25,20.29
questionnaire_conflict_better_boundary_bichon_14,2026-01-26,16.82
questionnaire_conflict_better_boundary_bichon_14,2026-01-27,19.43
questionnaire_conflict_better_boundary_bichon_14,2026-01-28,21.75
questionnaire_conflict_better_boundary_bichon_14,2026-01-29,17.22
questionnaire_conflict_better_boundary_bichon_14,2026-01-30,21.23
questionnaire_conflict_better_boundary_bichon_14,2026-01-31,12.25
questionnaire_conflict_better_boundary_bichon_14,2026-02-01,19.62
questionnaire_conflict_better_boundary_bichon_14,2026-02-02,16.01
questionnaire_conflict_better_boundary_bichon_14,2026-02-03,16.97
questionnaire_conflict_better_boundary_bichon_14,2026-02-04,18.24
questionnaire_conflict_better_boundary_bichon_14,2026-02-05,22.95
