pet_id,date,valid_wear_hours
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-01,19.47
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-02,18.53
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-03,16.48
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-04,19.75
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-05,16.8
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-06,22.99
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-07,19.75
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-08,16.21
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-09,16.31
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-10,22.8
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-11,20.42
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-12,20.88
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-13,17.68
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-14,21.06
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-15,16.74
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-16,17.3
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-17,19.05
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-18,22.05
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-19,16.16
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-20,21.07
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-21,16.62
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-22,17.88
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-23,19.02
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-24,19.77
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-25,20.69
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-26,18.78
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-27,20.53
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-28,22.48
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-29,20.95
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-30,22.66
questionnaire_conflict_better_habitual_goldendoodle_05,2026-01-31,20.4
questionnaire_conflict_better_habitual_goldendoodle_05,2026-02-01,19.92
questionnaire_conflict_better_habitual_goldendoodle_05,2026-02-02,16.9
questionnaire_conflict_better_habitual_goldendoodle_05,2026-02-03,19.81
questionnaire_conflict_better_habitual_goldendoodle_05,2026-02-04,22.81
questionnaire_conflict_better_habitual_goldendoodle_05,2026-02-05,21.62
