pet_id,date,valid_wear_hours
questionnaire_conflict_better_spike_bichon_06,2026-01-01,17.41
questionnaire_conflict_better_spike_bichon_06,2026-01-02,19.18
questionnaire_conflict_better_spike_bichon_06,2026-01-03,22.15
questionnaire_conflict_better_spike_bichon_06,2026-01-04,16.03
questionnaire_conflict_better_spike_bichon_06,2026-01-05,20.86
questionnaire_conflict_better_spike_bichon_06,2026-01-06,18.48
questionnaire_conflict_better_spike_bichon_06,2026-01-07,22.01
questionnaire_conflict_better_spike_bichon_06,2026-01-08,19.65
questionnaire_conflict_better_spike_bichon_06,2026-01-09,22.85
questionnaire_conflict_better_spike_bichon_06,2026-01-10,17.45
questionnaire_conflict_better_spike_bichon_06,2026-01-11,21.08
questionnaire_conflict_better_spike_bichon_06,2026-01-12,20.35
questionnaire_conflict_better_spike_bichon_06,2026-01-13,21.14
questionnaire_conflict_better_spike_bichon_06,2026-01-14,17.49
questionnaire_conflict_better_spike_bichon_06,2026-01-15,22.32
questionnaire_conflict_better_spike_bichon_06,2026-01-16,16.77
questionnaire_conflict_better_spike_bichon_06,2026-01-17,20.84
questionnaire_conflict_better_spike_bichon_06,2026-01-18,19.43
questionnaire_conflict_better_spike_bichon_06,2026-01-19,21.45
questionnaire_conflict_better_spike_bichon_06,2026-01-20,16.4
questionnaire_conflict_better_spike_bichon_06,2026-01-21,20.96
questionnaire_conflict_better_spike_bichon_06,2026-01-22,19.44
questionnaire_conflict_better_spike_bichon_06,2026-01-23,19.44
questionnaire_conflict_better_spike_bichon_06,2026-01-24,17.43
questionnaire_conflict_better_spike_bichon_06,2026-01-25,22.95
questionnaire_conflict_better_spike_bichon_06,2026-01-26,19.27
questionnaire_conflict_better_spike_bichon_06,2026-01-27,20.72
questionnaire_conflict_better_spike_bichon_06,2026-01-28,17.79
questionnaire_conflict_better_spike_bichon_06,2026-01-29,16.86
questionnaire_conflict_better_spike_bichon_06,2026-01-30,16.26
questionnaire_conflict_better_spike_bichon_06,2026-01-31,20.9
questionnaire_conflict_better_spike_bichon_06,2026-02-01,16.76
