pet_id,date,valid_wear_hours
questionnaire_conflict_worse_boundary_tugou_12,2026-01-01,5.94
questionnaire_conflict_worse_boundary_tugou_12,2026-01-02,22.07
questionnaire_conflict_worse_boundary_tugou_12,2026-01-03,17.68
questionnaire_conflict_worse_boundary_tugou_12,2026-01-04,18.48
questionnaire_conflict_worse_boundary_tugou_12,2026-01-05,16.38
questionnaire_conflict_worse_boundary_tugou_12,2026-01-06,4.07
questionnaire_conflict_worse_boundary_tugou_12,2026-01-07,17.03
questionnaire_conflict_worse_boundary_tugou_12,2026-01-08,18.06
questionnaire_conflict_worse_boundary_tugou_12,2026-01-09,22.99
questionnaire_conflict_worse_boundary_tugou_12,2026-01-10,17.14
questionnaire_conflict_worse_boundary_tugou_12,2026-01-11,4.99
questionnaire_conflict_worse_boundary_tugou_12,2026-01-12,16.34
questionnaire_conflict_worse_boundary_tugou_12,2026-01-13,16.61
questionnaire_conflict_worse_boundary_tugou_12,2026-01-14,20.09
questionnaire_conflict_worse_boundary_tugou_12,2026-01-15,17.21
questionnaire_conflict_worse_boundary_tugou_12,2026-01-16,7.91
questionnaire_conflict_worse_boundary_tugou_12,2026-01-17,22.05
questionnaire_conflict_worse_boundary_tugou_12,2026-01-18,21.06
questionnaire_conflict_worse_boundary_tugou_12,2026-01-19,17.57
questionnaire_conflict_worse_boundary_tugou_12,2026-01-20,22.57
questionnaire_conflict_worse_boundary_tugou_12,2026-01-21,6.01
questionnaire_conflict_worse_boundary_tugou_12,2026-01-22,22.82
questionnaire_conflict_worse_boundary_tugou_12,2026-01-23,16.48
questionnaire_conflict_worse_boundary_tugou_12,2026-01-24,22.55
questionnaire_conflict_worse_boundary_tugou_12,2026-01-25,16.92
questionnaire_conflict_worse_boundary_tugou_12,2026-01-26,2.8
questionnaire_conflict_worse_boundary_tugou_12,2026-01-27,17.09
questionnaire_conflict_worse_boundary_tugou_12,2026-01-28,19.17
questionnaire_conflict_worse_boundary_tugou_12,2026-01-29,17.51
questionnaire_conflict_worse_boundary_tugou_12,2026-01-30,18.52
questionnaire_conflict_worse_boundary_tugou_12,2026-01-31,8.73
questionnaire_conflict_worse_boundary_tugou_12,2026-02-01,16.65
questionnaire_conflict_worse_boundary_tugou_12,2026-02-02,21.41
questionnaire_conflict_worse_boundary_tugou_12,2026-02-03,19.45
questionnaire_conflict_worse_boundary_tugou_12,2026-02-04,18.04
questionnaire_conflict_worse_boundary_tugou_12,2026-02-05,4.02
questionnaire_conflict_worse_boundary_tugou_12,2026-02-06,22.2
questionnaire_conflict_worse_boundary_tugou_12,2026-02-07,22.66
questionnaire_conflict_worse_boundary_tugou_12,2026-02-08,17.16
