pet_id,date,valid_wear_hours
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-01,22.52
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-02,17.52
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-03,17.06
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-04,21.62
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-05,22.42
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-06,22.68
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-07,19.89
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-08,17.81
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-09,19.9
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-10,16.58
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-11,22.13
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-12,22.3
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-13,18.35
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-14,21.33
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-15,16.76
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-16,22.63
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-17,21.88
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-18,22.49
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-19,22.82
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-20,21.86
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-21,21.45
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-22,19.72
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-23,20.74
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-24,22.55
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-25,20.74
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-26,20.83
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-27,19.5
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-28,17.54
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-29,19.49
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-30,17.91
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-01-31,16.45
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-02-01,22.75
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-02-02,18.43
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-02-03,20.25
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-02-04,19.17
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-02-05,22.65
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-02-06,21.21
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-02-07,16.44
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-02-08,18.62
questionnaire_conflict_worse_hidden_lesion_tugou_04,2026-02-09,21.67
