pet_id,date,valid_wear_hours
questionnaire_conflict_worse_licking_maltese_03,2026-01-01,17.78
questionnaire_conflict_worse_licking_maltese_03,2026-01-02,18.23
questionnaire_conflict_worse_licking_maltese_03,2026-01-03,22.96
questionnaire_conflict_worse_licking_maltese_03,2026-01-04,21.82
questionnaire_conflict_worse_licking_maltese_03,2026-01-05,20.47
questionnaire_conflict_worse_licking_maltese_03,2026-01-06,22.06
questionnaire_conflict_worse_licking_maltese_03,2026-01-07,20.32
questionnaire_conflict_worse_licking_maltese_03,2026-01-08,22.49
questionnaire_conflict_worse_licking_maltese_03,2026-01-09,21.29
questionnaire_conflict_worse_licking_maltese_03,2026-01-10,20.7
questionnaire_conflict_worse_licking_maltese_03,2026-01-11,16.75
questionnaire_conflict_worse_licking_maltese_03,2026-01-12,16.03
questionnaire_conflict_worse_licking_maltese_03,2026-01-13,20.39
questionnaire_conflict_worse_licking_maltese_03,2026-01-14,16.32
questionnaire_conflict_worse_licking_maltese_03,2026-01-15,18.91
questionnaire_conflict_worse_licking_maltese_03,2026-01-16,18.74
questionnaire_conflict_worse_licking_maltese_03,2026-01-17,20.44
questionnaire_conflict_worse_licking_maltese_03,2026-01-18,17.26
questionnaire_conflict_worse_licking_maltese_03,2026-01-19,21.19
questionnaire_conflict_worse_licking_maltese_03,2026-01-20,22.03
questionnaire_conflict_worse_licking_maltese_03,2026-01-21,22.06
questionnaire_conflict_worse_licking_maltese_03,2026-01-22,16.68
questionnaire_conflict_worse_licking_maltese_03,2026-01-23,21.77
questionnaire_conflict_worse_licking_maltese_03,2026-01-24,22.79
questionnaire_conflict_worse_licking_maltese_03,2026-01-25,20.58
questionnaire_conflict_worse_licking_maltese_03,2026-01-26,17.21
questionnaire_conflict_worse_licking_maltese_03,2026-01-27,20.15
questionnaire_conflict_worse_licking_maltese_03,2026-01-28,17.13
questionnaire_conflict_worse_licking_maltese_03,2026-01-29,21.01
questionnaire_conflict_worse_licking_maltese_03,2026-01-30,16.22
questionnaire_conflict_worse_licking_maltese_03,2026-01-31,21.02
questionnaire_conflict_worse_licking_maltese_03,2026-02-01,19.91
questionnaire_conflict_worse_licking_maltese_03,2026-02-02,16.76
questionnaire_conflict_worse_licking_maltese_03,2026-02-03,19.54
questionnaire_conflict_worse_licking_maltese_03,2026-02-04,20.56
questionnaire_conflict_worse_licking_maltese_03,2026-02-05,17.7
questionnaire_conflict_worse_licking_maltese_03,2026-02-06,18.45
questionnaire_conflict_worse_licking_maltese_03,2026-02-07,20.73
