pet_id,date,valid_wear_hours
questionnaire_consistent_boundary_c1_maltese_11,2026-01-01,16.21
questionnaire_consistent_boundary_c1_maltese_11,2026-01-02,16.81
questionnaire_consistent_boundary_c1_maltese_11,2026-01-03,17.23
questionnaire_consistent_boundary_c1_maltese_11,2026-01-04,22.31
questionnaire_consistent_boundary_c1_maltese_11,2026-01-05,18.2
questionnaire_consistent_boundary_c1_maltese_11,2026-01-06,16.68
questionnaire_consistent_boundary_c1_maltese_11,2026-01-07,21.4
questionnaire_consistent_boundary_c1_maltese_11,2026-01-08,16.77
questionnaire_consistent_boundary_c1_maltese_11,2026-01-09,17.15
questionnaire_consistent_boundary_c1_maltese_11,2026-01-10,20.04
questionnaire_consistent_boundary_c1_maltese_11,2026-01-11,18.35
questionnaire_consistent_boundary_c1_maltese_11,2026-01-12,19.06
questionnaire_consistent_boundary_c1_maltese_11,2026-01-13,18.07
questionnaire_consistent_boundary_c1_maltese_11,2026-01-14,22.17
questionnaire_consistent_boundary_c1_maltese_11,2026-01-15,21.42
questionnaire_consistent_boundary_c1_maltese_11,2026-01-16,20.6
questionnaire_consistent_boundary_c1_maltese_11,2026-01-17,21.58
questionnaire_consistent_boundary_c1_maltese_11,2026-01-18,16.58
questionnaire_consistent_boundary_c1_maltese_11,2026-01-19,17.66
questionnaire_consistent_boundary_c1_maltese_11,2026-01-20,18.48
questionnaire_consistent_boundary_c1_maltese_11,2026-01-21,16.37
questionnaire_consistent_boundary_c1_maltese_11,2026-01-22,21.62
questionnaire_consistent_boundary_c1_maltese_11,2026-01-23,20.24
questionnaire_consistent_boundary_c1_maltese_11,2026-01-24,21.24
questionnaire_consistent_boundary_c1_maltese_11,2026-01-25,17.26
questionnaire_consistent_boundary_c1_maltese_11,2026-01-26,18.39
questionnaire_consistent_boundary_c1_maltese_11,2026-01-27,22.2
questionnaire_consistent_boundary_c1_maltese_11,2026-01-28,17.67
questionnaire_consistent_boundary_c1_maltese_11,2026-01-29,22.79
questionnaire_consistent_boundary_c1_maltese_11,2026-01-30,20.73
questionnaire_consistent_boundary_c1_maltese_11,2026-01-31,22.26
questionnaire_consistent_boundary_c1_maltese_11,2026-02-01,21.44
questionnaire_consistent_boundary_c1_maltese_11,2026-02-02,17.36
questionnaire_consistent_boundary_c1_maltese_11,2026-02-03,19.25
questionnaire_consistent_boundary_c1_maltese_11,2026-02-04,16.47
questionnaire_consistent_boundary_c1_maltese_11,2026-02-05,20.4
questionnaire_consistent_boundary_c1_maltese_11,2026-02-06,18.09
