pet_id,date,valid_wear_hours
questionnaire_consistent_c1_moderate_bichon_02,2026-01-01,16.16
questionnaire_consistent_c1_moderate_bichon_02,2026-01-02,17.76
questionnaire_consistent_c1_moderate_bichon_02,2026-01-03,16.78
questionnaire_consistent_c1_moderate_bichon_02,2026-01-04,16.44
questionnaire_consistent_c1_moderate_bichon_02,2026-01-05,19.31
questionnaire_consistent_c1_moderate_bichon_02,2026-01-06,18.56
questionnaire_consistent_c1_moderate_bichon_02,2026-01-07,17.32
questionnaire_consistent_c1_moderate_bichon_02,2026-01-08,18.0
questionnaire_consistent_c1_moderate_bichon_02,2026-01-09,16.79
questionnaire_consistent_c1_moderate_bichon_02,2026-01-10,19.26
questionnaire_consistent_c1_moderate_bichon_02,2026-01-11,21.76
questionnaire_consistent_c1_moderate_bichon_02,2026-01-12,18.12
questionnaire_consistent_c1_moderate_bichon_02,2026-01-13,20.75
questionnaire_consistent_c1_moderate_bichon_02,2026-01-14,19.29
questionnaire_consistent_c1_moderate_bichon_02,2026-01-15,20.8
questionnaire_consistent_c1_moderate_bichon_02,2026-01-16,20.92
questionnaire_consistent_c1_moderate_bichon_02,2026-01-17,17.68
questionnaire_consistent_c1_moderate_bichon_02,2026-01-18,19.69
questionnaire_consistent_c1_moderate_bichon_02,2026-01-19,22.19
questionnaire_consistent_c1_moderate_bichon_02,2026-01-20,22.05
questionnaire_consistent_c1_moderate_bichon_02,2026-01-21,18.72
questionnaire_consistent_c1_moderate_bichon_02,2026-01-22,19.32
questionnaire_consistent_c1_moderate_bichon_02,2026-01-23,21.76
questionnaire_consistent_c1_moderate_bichon_02,2026-01-24,17.18
questionnaire_consistent_c1_moderate_bichon_02,2026-01-25,17.98
questionnaire_consistent_c1_moderate_bichon_02,2026-01-26,19.17
questionnaire_consistent_c1_moderate_bichon_02,2026-01-27,22.5
questionnaire_consistent_c1_moderate_bichon_02,2026-01-28,21.88
questionnaire_consistent_c1_moderate_bichon_02,2026-01-29,22.38
questionnaire_consistent_c1_moderate_bichon_02,2026-01-30,20.98
questionnaire_consistent_c1_moderate_bichon_02,2026-01-31,19.06
questionnaire_consistent_c1_moderate_bichon_02,2026-02-01,16.89
questionnaire_consistent_c1_moderate_bichon_02,2026-02-02,19.04
questionnaire_consistent_c1_moderate_bichon_02,2026-02-03,20.08
questionnaire_consistent_c1_moderate_bichon_02,2026-02-04,20.72
