pet_id,date,valid_wear_hours
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-01,19.46
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-02,19.83
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-03,20.47
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-04,18.84
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-05,16.47
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-06,17.05
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-07,16.43
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-08,17.59
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-09,19.7
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-10,16.88
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-11,21.18
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-12,20.61
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-13,18.05
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-14,21.17
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-15,20.24
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-16,18.16
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-17,19.45
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-18,17.5
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-19,19.19
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-20,19.37
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-21,17.05
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-22,18.9
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-23,20.43
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-24,19.08
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-25,18.09
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-26,21.76
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-27,20.16
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-28,17.27
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-29,22.78
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-30,20.2
questionnaire_consistent_c2_severe_goldendoodle_01,2026-01-31,19.15
questionnaire_consistent_c2_severe_goldendoodle_01,2026-02-01,21.58
questionnaire_consistent_c2_severe_goldendoodle_01,2026-02-02,20.4
questionnaire_consistent_c2_severe_goldendoodle_01,2026-02-03,19.61
questionnaire_consistent_c2_severe_goldendoodle_01,2026-02-04,18.7
questionnaire_consistent_c2_severe_goldendoodle_01,2026-02-05,17.52
questionnaire_consistent_c2_severe_goldendoodle_01,2026-02-06,20.59
questionnaire_consistent_c2_severe_goldendoodle_01,2026-02-07,17.74
questionnaire_consistent_c2_severe_goldendoodle_01,2026-02-08,21.91
questionnaire_consistent_c2_severe_goldendoodle_01,2026-02-09,21.46
questionnaire_consistent_c2_severe_goldendoodle_01,2026-02-10,20.73
questionnaire_consistent_c2_severe_goldendoodle_01,2026-02-11,22.87
