pet_id,date,valid_wear_hours
questionnaire_consistent_recovery_goldendoodle_13,2026-01-01,19.29
questionnaire_consistent_recovery_goldendoodle_13,2026-01-02,21.7
questionnaire_consistent_recovery_goldendoodle_13,2026-01-03,20.78
questionnaire_consistent_recovery_goldendoodle_13,2026-01-04,22.45
questionnaire_consistent_recovery_goldendoodle_13,2026-01-05,19.8
questionnaire_consistent_recovery_goldendoodle_13,2026-01-06,21.37
questionnaire_consistent_recovery_goldendoodle_13,2026-01-07,20.24
questionnaire_consistent_recovery_goldendoodle_13,2026-01-08,19.2
questionnaire_consistent_recovery_goldendoodle_13,2026-01-09,21.48
questionnaire_consistent_recovery_goldendoodle_13,2026-01-10,21.43
questionnaire_consistent_recovery_goldendoodle_13,2026-01-11,18.82
questionnaire_consistent_recovery_goldendoodle_13,2026-01-12,20.41
questionnaire_consistent_recovery_goldendoodle_13,2026-01-13,21.07
questionnaire_consistent_recovery_goldendoodle_13,2026-01-14,22.33
questionnaire_consistent_recovery_goldendoodle_13,2026-01-15,21.8
questionnaire_consistent_recovery_goldendoodle_13,2026-01-16,17.6
questionnaire_consistent_recovery_goldendoodle_13,2026-01-17,21.07
questionnaire_consistent_recovery_goldendoodle_13,2026-01-18,18.58
questionnaire_consistent_recovery_goldendoodle_13,2026-01-19,18.27
questionnaire_consistent_recovery_goldendoodle_13,2026-01-20,18.83
questionnaire_consistent_recovery_goldendoodle_13,2026-01-21,19.09
questionnaire_consistent_recovery_goldendoodle_13,2026-01-22,22.54
questionnaire_consistent_recovery_goldendoodle_13,2026-01-23,16.98
questionnaire_consistent_recovery_goldendoodle_13,2026-01-24,21.55
questionnaire_consistent_recovery_goldendoodle_13,2026-01-25,20.47
questionnaire_consistent_recovery_goldendoodle_13,2026-01-26,18.67
questionnaire_consistent_recovery_goldendoodle_13,2026-01-27,18.68
questionnaire_consistent_recovery_goldendoodle_13,2026-01-28,17.41
questionnaire_consistent_recovery_goldendoodle_13,2026-01-29,18.27
questionnaire_consistent_recovery_goldendoodle_13,2026-01-30,20.24
questionnaire_consistent_recovery_goldendoodle_13,2026-01-31,18.55
questionnaire_consistent_recovery_goldendoodle_13,2026-02-01,20.67
questionnaire_consistent_recovery_goldendoodle_13,2026-02-02,20.67
questionnaire_consistent_recovery_goldendoodle_13,2026-02-03,19.54
questionnaire_consistent_recovery_goldendoodle_13,2026-02-04,18.58
questionnaire_consistent_recovery_goldendoodle_13,2026-02-05,20.75
questionnaire_consistent_recovery_goldendoodle_13,2026-02-06,20.44
questionnaire_consistent_recovery_goldendoodle_13,2026-02-07,17.26
questionnaire_consistent_recovery_goldendoodle_13,2026-02-08,20.01
questionnaire_consistent_recovery_goldendoodle_13,2026-02-09,17.21
questionnaire_consistent_recovery_goldendoodle_13,2026-02-10,16.67
questionnaire_consistent_recovery_goldendoodle_13,2026-02-11,20.93
questionnaire_consistent_recovery_goldendoodle_13,2026-02-12,20.6
questionnaire_consistent_recovery_goldendoodle_13,2026-02-13,19.77
questionnaire_consistent_recovery_goldendoodle_13,2026-02-14,20.47
questionnaire_consistent_recovery_goldendoodle_13,2026-02-15,18.89
questionnaire_consistent_recovery_goldendoodle_13,2026-02-16,17.35
questionnaire_consistent_recovery_goldendoodle_13,2026-02-17,19.98
questionnaire_consistent_recovery_goldendoodle_13,2026-02-18,22.57
questionnaire_consistent_recovery_goldendoodle_13,2026-02-19,17.09
