pet_id,date,valid_wear_hours
questionnaire_no_answer_c1_maltese_07,2026-01-01,17.34
questionnaire_no_answer_c1_maltese_07,2026-01-02,20.52
questionnaire_no_answer_c1_maltese_07,2026-01-03,19.81
questionnaire_no_answer_c1_maltese_07,2026-01-04,19.2
questionnaire_no_answer_c1_maltese_07,2026-01-05,19.1
questionnaire_no_answer_c1_maltese_07,2026-01-06,21.49
questionnaire_no_answer_c1_maltese_07,2026-01-07,16.75
questionnaire_no_answer_c1_maltese_07,2026-01-08,17.49
questionnaire_no_answer_c1_maltese_07,2026-01-09,17.91
questionnaire_no_answer_c1_maltese_07,2026-01-10,22.99
questionnaire_no_answer_c1_maltese_07,2026-01-11,20.17
questionnaire_no_answer_c1_maltese_07,2026-01-12,18.78
questionnaire_no_answer_c1_maltese_07,2026-01-13,21.4
questionnaire_no_answer_c1_maltese_07,2026-01-14,20.79
questionnaire_no_answer_c1_maltese_07,2026-01-15,16.16
questionnaire_no_answer_c1_maltese_07,2026-01-16,22.32
questionnaire_no_answer_c1_maltese_07,2026-01-17,19.18
questionnaire_no_answer_c1_maltese_07,2026-01-18,17.53
questionnaire_no_answer_c1_maltese_07,2026-01-19,16.15
questionnaire_no_answer_c1_maltese_07,2026-01-20,16.22
questionnaire_no_answer_c1_maltese_07,2026-01-21,21.41
questionnaire_no_answer_c1_maltese_07,2026-01-22,21.62
questionnaire_no_answer_c1_maltese_07,2026-01-23,16.68
questionnaire_no_answer_c1_maltese_07,2026-01-24,18.37
questionnaire_no_answer_c1_maltese_07,2026-01-25,18.21
questionnaire_no_answer_c1_maltese_07,2026-01-26,19.88
questionnaire_no_answer_c1_maltese_07,2026-01-27,21.45
questionnaire_no_answer_c1_maltese_07,2026-01-28,16.97
questionnaire_no_answer_c1_maltese_07,2026-01-29,20.91
questionnaire_no_answer_c1_maltese_07,2026-01-30,22.69
questionnaire_no_answer_c1_maltese_07,2026-01-31,21.14
questionnaire_no_answer_c1_maltese_07,2026-02-01,18.32
questionnaire_no_answer_c1_maltese_07,2026-02-02,17.59
questionnaire_no_answer_c1_maltese_07,2026-02-03,20.49
