pet_id,date,valid_wear_hours
questionnaire_no_answer_c2_tugou_08,2026-01-01,21.15
questionnaire_no_answer_c2_tugou_08,2026-01-02,17.91
questionnaire_no_answer_c2_tugou_08,2026-01-03,21.55
questionnaire_no_answer_c2_tugou_08,2026-01-04,22.76
questionnaire_no_answer_c2_tugou_08,2026-01-05,18.25
questionnaire_no_answer_c2_tugou_08,2026-01-06,20.02
questionnaire_no_answer_c2_tugou_08,2026-01-07,20.15
questionnaire_no_answer_c2_tugou_08,2026-01-08,17.05
questionnaire_no_answer_c2_tugou_08,2026-01-09,22.71
questionnaire_no_answer_c2_tugou_08,2026-01-10,19.76
questionnaire_no_answer_c2_tugou_08,2026-01-11,17.94
questionnaire_no_answer_c2_tugou_08,2026-01-12,16.31
questionnaire_no_answer_c2_tugou_08,2026-01-13,22.85
questionnaire_no_answer_c2_tugou_08,2026-01-14,21.96
questionnaire_no_answer_c2_tugou_08,2026-01-15,21.3
questionnaire_no_answer_c2_tugou_08,2026-01-16,16.55
questionnaire_no_answer_c2_tugou_08,2026-01-17,17.92
questionnaire_no_answer_c2_tugou_08,2026-01-18,17.9
questionnaire_no_answer_c2_tugou_08,2026-01-19,16.41
questionnaire_no_answer_c2_tugou_08,2026-01-20,17.85
questionnaire_no_answer_c2_tugou_08,2026-01-21,16.43
questionnaire_no_answer_c2_tugou_08,2026-01-22,18.01
questionnaire_no_answer_c2_tugou_08,2026-01-23,22.81
questionnaire_no_answer_c2_tugou_08,2026-01-24,17.77
questionnaire_no_answer_c2_tugou_08,2026-01-25,17.29
questionnaire_no_answer_c2_tugou_08,2026-01-26,22.47
questionnaire_no_answer_c2_tugou_08,2026-01-27,16.53
questionnaire_no_answer_c2_tugou_08,2026-01-28,21.01
questionnaire_no_answer_c2_tugou_08,2026-01-29,21.69
questionnaire_no_answer_c2_tugou_08,2026-01-30,16.11
questionnaire_no_answer_c2_tugou_08,2026-01-31,22.46
questionnaire_no_answer_c2_tugou_08,2026-02-01,20.46
questionnaire_no_answer_c2_tugou_08,2026-02-02,17.96
questionnaire_no_answer_c2_tugou_08,2026-02-03,19.77
questionnaire_no_answer_c2_tugou_08,2026-02-04,18.77
questionnaire_no_answer_c2_tugou_08,2026-02-05,18.43
questionnaire_no_answer_c2_tugou_08,2026-02-06,20.17
questionnaire_no_answer_c2_tugou_08,2026-02-07,21.57
questionnaire_no_answer_c2_tugou_08,2026-02-08,20.09
questionnaire_no_answer_c2_tugou_08,2026-02-09,19.08
