pet_id,date,valid_wear_hours
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-01,21.47
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-02,20.31
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-03,18.19
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-04,20.49
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-05,22.67
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-06,16.87
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-07,18.73
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-08,19.29
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-09,16.87
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-10,21.16
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-11,16.53
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-12,21.15
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-13,17.64
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-14,16.08
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-15,18.6
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-16,22.42
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-17,18.55
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-18,19.35
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-19,17.96
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-20,16.93
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-21,20.83
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-22,19.74
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-23,19.18
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-24,20.71
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-25,17.46
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-26,22.28
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-27,18.89
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-28,20.61
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-29,16.13
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-30,17.75
questionnaire_not_triggered_stable_goldendoodle_09,2026-01-31,19.09
questionnaire_not_triggered_stable_goldendoodle_09,2026-02-01,18.14
questionnaire_not_triggered_stable_goldendoodle_09,2026-02-02,19.44
