pet_id,date,valid_wear_hours
ramp_border_1_5_goldendoodle_02,2026-01-01,18.13
ramp_border_1_5_goldendoodle_02,2026-01-02,18.39
ramp_border_1_5_goldendoodle_02,2026-01-03,18.7
ramp_border_1_5_goldendoodle_02,2026-01-04,19.23
ramp_border_1_5_goldendoodle_02,2026-01-05,20.61
ramp_border_1_5_goldendoodle_02,2026-01-06,19.0
ramp_border_1_5_goldendoodle_02,2026-01-07,17.22
ramp_border_1_5_goldendoodle_02,2026-01-08,22.66
ramp_border_1_5_goldendoodle_02,2026-01-09,22.78
ramp_border_1_5_goldendoodle_02,2026-01-10,18.8
ramp_border_1_5_goldendoodle_02,2026-01-11,21.33
ramp_border_1_5_goldendoodle_02,2026-01-12,18.93
ramp_border_1_5_goldendoodle_02,2026-01-13,17.87
ramp_border_1_5_goldendoodle_02,2026-01-14,16.87
ramp_border_1_5_goldendoodle_02,2026-01-15,22.06
ramp_border_1_5_goldendoodle_02,2026-01-16,22.93
ramp_border_1_5_goldendoodle_02,2026-01-17,21.16
ramp_border_1_5_goldendoodle_02,2026-01-18,18.25
ramp_border_1_5_goldendoodle_02,2026-01-19,21.99
ramp_border_1_5_goldendoodle_02,2026-01-20,21.26
ramp_border_1_5_goldendoodle_02,2026-01-21,16.18
ramp_border_1_5_goldendoodle_02,2026-01-22,20.25
ramp_border_1_5_goldendoodle_02,2026-01-23,21.13
ramp_border_1_5_goldendoodle_02,2026-01-24,22.97
ramp_border_1_5_goldendoodle_02,2026-01-25,17.22
ramp_border_1_5_goldendoodle_02,2026-01-26,17.11
ramp_border_1_5_goldendoodle_02,2026-01-27,17.23
ramp_border_1_5_goldendoodle_02,2026-01-28,22.47
ramp_border_1_5_goldendoodle_02,2026-01-29,20.34
ramp_border_1_5_goldendoodle_02,2026-01-30,16.43
ramp_border_1_5_goldendoodle_02,2026-01-31,21.45
ramp_border_1_5_goldendoodle_02,2026-02-01,20.45
ramp_border_1_5_goldendoodle_02,2026-02-02,20.57
ramp_border_1_5_goldendoodle_02,2026-02-03,22.87
ramp_border_1_5_goldendoodle_02,2026-02-04,19.33
ramp_border_1_5_goldendoodle_02,2026-02-05,20.09
