pet_id,date,valid_wear_hours
ramp_border_3_0_tianyuan_02,2026-01-01,18.34
ramp_border_3_0_tianyuan_02,2026-01-02,17.59
ramp_border_3_0_tianyuan_02,2026-01-03,22.52
ramp_border_3_0_tianyuan_02,2026-01-04,19.6
ramp_border_3_0_tianyuan_02,2026-01-05,18.42
ramp_border_3_0_tianyuan_02,2026-01-06,20.65
ramp_border_3_0_tianyuan_02,2026-01-07,17.09
ramp_border_3_0_tianyuan_02,2026-01-08,20.33
ramp_border_3_0_tianyuan_02,2026-01-09,21.7
ramp_border_3_0_tianyuan_02,2026-01-10,19.15
ramp_border_3_0_tianyuan_02,2026-01-11,16.5
ramp_border_3_0_tianyuan_02,2026-01-12,18.44
ramp_border_3_0_tianyuan_02,2026-01-13,20.97
ramp_border_3_0_tianyuan_02,2026-01-14,19.94
ramp_border_3_0_tianyuan_02,2026-01-15,17.08
ramp_border_3_0_tianyuan_02,2026-01-16,18.67
ramp_border_3_0_tianyuan_02,2026-01-17,22.99
ramp_border_3_0_tianyuan_02,2026-01-18,21.13
ramp_border_3_0_tianyuan_02,2026-01-19,20.05
ramp_border_3_0_tianyuan_02,2026-01-20,18.48
ramp_border_3_0_tianyuan_02,2026-01-21,19.92
ramp_border_3_0_tianyuan_02,2026-01-22,17.78
ramp_border_3_0_tianyuan_02,2026-01-23,21.84
ramp_border_3_0_tianyuan_02,2026-01-24,21.72
ramp_border_3_0_tianyuan_02,2026-01-25,20.42
ramp_border_3_0_tianyuan_02,2026-01-26,19.91
ramp_border_3_0_tianyuan_02,2026-01-27,22.43
ramp_border_3_0_tianyuan_02,2026-01-28,18.12
ramp_border_3_0_tianyuan_02,2026-01-29,18.51
ramp_border_3_0_tianyuan_02,2026-01-30,18.39
ramp_border_3_0_tianyuan_02,2026-01-31,17.95
ramp_border_3_0_tianyuan_02,2026-02-01,21.39
ramp_border_3_0_tianyuan_02,2026-02-02,16.72
ramp_border_3_0_tianyuan_02,2026-02-03,20.71
ramp_border_3_0_tianyuan_02,2026-02-04,19.4
ramp_border_3_0_tianyuan_02,2026-02-05,22.23
ramp_border_3_0_tianyuan_02,2026-02-06,17.42
ramp_border_3_0_tianyuan_02,2026-02-07,16.28
ramp_border_3_0_tianyuan_02,2026-02-08,16.31
ramp_border_3_0_tianyuan_02,2026-02-09,18.49
