pet_id,date,valid_wear_hours
ramp_chronic_transition_goldendoodle_04,2026-01-01,18.05
ramp_chronic_transition_goldendoodle_04,2026-01-02,22.75
ramp_chronic_transition_goldendoodle_04,2026-01-03,16.95
ramp_chronic_transition_goldendoodle_04,2026-01-04,21.25
ramp_chronic_transition_goldendoodle_04,2026-01-05,21.2
ramp_chronic_transition_goldendoodle_04,2026-01-06,17.74
ramp_chronic_transition_goldendoodle_04,2026-01-07,16.92
ramp_chronic_transition_goldendoodle_04,2026-01-08,19.64
ramp_chronic_transition_goldendoodle_04,2026-01-09,22.16
ramp_chronic_transition_goldendoodle_04,2026-01-10,18.16
ramp_chronic_transition_goldendoodle_04,2026-01-11,20.71
ramp_chronic_transition_goldendoodle_04,2026-01-12,22.19
ramp_chronic_transition_goldendoodle_04,2026-01-13,17.43
ramp_chronic_transition_goldendoodle_04,2026-01-14,22.42
ramp_chronic_transition_goldendoodle_04,2026-01-15,17.81
ramp_chronic_transition_goldendoodle_04,2026-01-16,17.08
ramp_chronic_transition_goldendoodle_04,2026-01-17,18.41
ramp_chronic_transition_goldendoodle_04,2026-01-18,16.77
ramp_chronic_transition_goldendoodle_04,2026-01-19,17.69
ramp_chronic_transition_goldendoodle_04,2026-01-20,17.1
ramp_chronic_transition_goldendoodle_04,2026-01-21,18.71
ramp_chronic_transition_goldendoodle_04,2026-01-22,19.98
ramp_chronic_transition_goldendoodle_04,2026-01-23,16.34
ramp_chronic_transition_goldendoodle_04,2026-01-24,18.57
ramp_chronic_transition_goldendoodle_04,2026-01-25,18.58
ramp_chronic_transition_goldendoodle_04,2026-01-26,19.88
ramp_chronic_transition_goldendoodle_04,2026-01-27,18.08
ramp_chronic_transition_goldendoodle_04,2026-01-28,18.83
ramp_chronic_transition_goldendoodle_04,2026-01-29,18.7
ramp_chronic_transition_goldendoodle_04,2026-01-30,18.98
ramp_chronic_transition_goldendoodle_04,2026-01-31,22.25
ramp_chronic_transition_goldendoodle_04,2026-02-01,22.72
ramp_chronic_transition_goldendoodle_04,2026-02-02,19.07
ramp_chronic_transition_goldendoodle_04,2026-02-03,22.6
ramp_chronic_transition_goldendoodle_04,2026-02-04,22.1
ramp_chronic_transition_goldendoodle_04,2026-02-05,17.36
ramp_chronic_transition_goldendoodle_04,2026-02-06,18.47
ramp_chronic_transition_goldendoodle_04,2026-02-07,17.85
ramp_chronic_transition_goldendoodle_04,2026-02-08,19.47
ramp_chronic_transition_goldendoodle_04,2026-02-09,20.54
ramp_chronic_transition_goldendoodle_04,2026-02-10,18.53
ramp_chronic_transition_goldendoodle_04,2026-02-11,19.68
ramp_chronic_transition_goldendoodle_04,2026-02-12,22.42
ramp_chronic_transition_goldendoodle_04,2026-02-13,18.15
ramp_chronic_transition_goldendoodle_04,2026-02-14,20.68
ramp_chronic_transition_goldendoodle_04,2026-02-15,18.78
ramp_chronic_transition_goldendoodle_04,2026-02-16,17.81
ramp_chronic_transition_goldendoodle_04,2026-02-17,18.66
