pet_id,date,valid_wear_hours
ramp_fast_severe_tianyuan_01,2026-01-01,19.2
ramp_fast_severe_tianyuan_01,2026-01-02,20.16
ramp_fast_severe_tianyuan_01,2026-01-03,20.98
ramp_fast_severe_tianyuan_01,2026-01-04,16.09
ramp_fast_severe_tianyuan_01,2026-01-05,22.23
ramp_fast_severe_tianyuan_01,2026-01-06,22.71
ramp_fast_severe_tianyuan_01,2026-01-07,21.85
ramp_fast_severe_tianyuan_01,2026-01-08,16.74
ramp_fast_severe_tianyuan_01,2026-01-09,20.35
ramp_fast_severe_tianyuan_01,2026-01-10,17.08
ramp_fast_severe_tianyuan_01,2026-01-11,20.55
ramp_fast_severe_tianyuan_01,2026-01-12,19.16
ramp_fast_severe_tianyuan_01,2026-01-13,19.93
ramp_fast_severe_tianyuan_01,2026-01-14,17.71
ramp_fast_severe_tianyuan_01,2026-01-15,18.73
ramp_fast_severe_tianyuan_01,2026-01-16,22.24
ramp_fast_severe_tianyuan_01,2026-01-17,22.11
ramp_fast_severe_tianyuan_01,2026-01-18,21.74
ramp_fast_severe_tianyuan_01,2026-01-19,22.31
ramp_fast_severe_tianyuan_01,2026-01-20,16.26
ramp_fast_severe_tianyuan_01,2026-01-21,16.13
ramp_fast_severe_tianyuan_01,2026-01-22,18.91
ramp_fast_severe_tianyuan_01,2026-01-23,18.94
ramp_fast_severe_tianyuan_01,2026-01-24,22.14
ramp_fast_severe_tianyuan_01,2026-01-25,16.16
ramp_fast_severe_tianyuan_01,2026-01-26,21.21
ramp_fast_severe_tianyuan_01,2026-01-27,16.05
ramp_fast_severe_tianyuan_01,2026-01-28,16.58
ramp_fast_severe_tianyuan_01,2026-01-29,19.28
ramp_fast_severe_tianyuan_01,2026-01-30,18.12
ramp_fast_severe_tianyuan_01,2026-01-31,18.29
ramp_fast_severe_tianyuan_01,2026-02-01,21.45
ramp_fast_severe_tianyuan_01,2026-02-02,21.08
ramp_fast_severe_tianyuan_01,2026-02-03,19.07
ramp_fast_severe_tianyuan_01,2026-02-04,22.64
ramp_fast_severe_tianyuan_01,2026-02-05,19.86
ramp_fast_severe_tianyuan_01,2026-02-06,18.45
ramp_fast_severe_tianyuan_01,2026-02-07,17.08
