pet_id,date,valid_wear_hours
ramp_high_baseline_bichon_03,2026-01-01,21.0
ramp_high_baseline_bichon_03,2026-01-02,18.22
ramp_high_baseline_bichon_03,2026-01-03,16.17
ramp_high_baseline_bichon_03,2026-01-04,0.0
ramp_high_baseline_bichon_03,2026-01-05,0.0
ramp_high_baseline_bichon_03,2026-01-06,18.44
ramp_high_baseline_bichon_03,2026-01-07,21.18
ramp_high_baseline_bichon_03,2026-01-08,22.02
ramp_high_baseline_bichon_03,2026-01-09,21.4
ramp_high_baseline_bichon_03,2026-01-10,22.0
ramp_high_baseline_bichon_03,2026-01-11,20.34
ramp_high_baseline_bichon_03,2026-01-12,20.16
ramp_high_baseline_bichon_03,2026-01-13,0.0
ramp_high_baseline_bichon_03,2026-01-14,0.0
ramp_high_baseline_bichon_03,2026-01-15,21.5
ramp_high_baseline_bichon_03,2026-01-16,22.01
ramp_high_baseline_bichon_03,2026-01-17,16.55
ramp_high_baseline_bichon_03,2026-01-18,22.46
ramp_high_baseline_bichon_03,2026-01-19,21.99
ramp_high_baseline_bichon_03,2026-01-20,17.75
ramp_high_baseline_bichon_03,2026-01-21,16.14
ramp_high_baseline_bichon_03,2026-01-22,0.0
ramp_high_baseline_bichon_03,2026-01-23,0.0
ramp_high_baseline_bichon_03,2026-01-24,19.26
ramp_high_baseline_bichon_03,2026-01-25,19.79
ramp_high_baseline_bichon_03,2026-01-26,22.4
ramp_high_baseline_bichon_03,2026-01-27,21.76
ramp_high_baseline_bichon_03,2026-01-28,16.42
ramp_high_baseline_bichon_03,2026-01-29,17.88
ramp_high_baseline_bichon_03,2026-01-30,17.74
ramp_high_baseline_bichon_03,2026-01-31,0.0
ramp_high_baseline_bichon_03,2026-02-01,0.0
ramp_high_baseline_bichon_03,2026-02-02,16.05
ramp_high_baseline_bichon_03,2026-02-03,20.17
ramp_high_baseline_bichon_03,2026-02-04,17.52
ramp_high_baseline_bichon_03,2026-02-05,19.74
ramp_high_baseline_bichon_03,2026-02-06,20.99
