pet_id,date,valid_wear_hours
ramp_medium_moderate_bichon_01,2026-01-01,6.65
ramp_medium_moderate_bichon_01,2026-01-02,20.28
ramp_medium_moderate_bichon_01,2026-01-03,18.95
ramp_medium_moderate_bichon_01,2026-01-04,18.97
ramp_medium_moderate_bichon_01,2026-01-05,22.05
ramp_medium_moderate_bichon_01,2026-01-06,2.53
ramp_medium_moderate_bichon_01,2026-01-07,16.56
ramp_medium_moderate_bichon_01,2026-01-08,18.25
ramp_medium_moderate_bichon_01,2026-01-09,20.05
ramp_medium_moderate_bichon_01,2026-01-10,16.31
ramp_medium_moderate_bichon_01,2026-01-11,2.91
ramp_medium_moderate_bichon_01,2026-01-12,21.15
ramp_medium_moderate_bichon_01,2026-01-13,22.58
ramp_medium_moderate_bichon_01,2026-01-14,17.61
ramp_medium_moderate_bichon_01,2026-01-15,16.65
ramp_medium_moderate_bichon_01,2026-01-16,4.06
ramp_medium_moderate_bichon_01,2026-01-17,19.23
ramp_medium_moderate_bichon_01,2026-01-18,18.26
ramp_medium_moderate_bichon_01,2026-01-19,22.26
ramp_medium_moderate_bichon_01,2026-01-20,16.58
ramp_medium_moderate_bichon_01,2026-01-21,3.38
ramp_medium_moderate_bichon_01,2026-01-22,22.47
ramp_medium_moderate_bichon_01,2026-01-23,18.29
ramp_medium_moderate_bichon_01,2026-01-24,21.61
ramp_medium_moderate_bichon_01,2026-01-25,18.9
ramp_medium_moderate_bichon_01,2026-01-26,6.29
ramp_medium_moderate_bichon_01,2026-01-27,21.51
ramp_medium_moderate_bichon_01,2026-01-28,20.99
ramp_medium_moderate_bichon_01,2026-01-29,21.6
ramp_medium_moderate_bichon_01,2026-01-30,16.53
ramp_medium_moderate_bichon_01,2026-01-31,2.36
ramp_medium_moderate_bichon_01,2026-02-01,22.12
ramp_medium_moderate_bichon_01,2026-02-02,16.65
ramp_medium_moderate_bichon_01,2026-02-03,22.98
ramp_medium_moderate_bichon_01,2026-02-04,22.01
ramp_medium_moderate_bichon_01,2026-02-05,4.17
ramp_medium_moderate_bichon_01,2026-02-06,16.32
ramp_medium_moderate_bichon_01,2026-02-07,16.95
ramp_medium_moderate_bichon_01,2026-02-08,20.39
ramp_medium_moderate_bichon_01,2026-02-09,22.91
ramp_medium_moderate_bichon_01,2026-02-10,6.44
ramp_medium_moderate_bichon_01,2026-02-11,22.94
