pet_id,date,valid_wear_hours
ramp_slow_mild_goldendoodle_01,2026-01-01,21.41
ramp_slow_mild_goldendoodle_01,2026-01-02,21.68
ramp_slow_mild_goldendoodle_01,2026-01-03,19.16
ramp_slow_mild_goldendoodle_01,2026-01-04,20.21
ramp_slow_mild_goldendoodle_01,2026-01-05,19.12
ramp_slow_mild_goldendoodle_01,2026-01-06,17.56
ramp_slow_mild_goldendoodle_01,2026-01-07,16.84
ramp_slow_mild_goldendoodle_01,2026-01-08,20.67
ramp_slow_mild_goldendoodle_01,2026-01-09,18.91
ramp_slow_mild_goldendoodle_01,2026-01-10,19.69
ramp_slow_mild_goldendoodle_01,2026-01-11,20.27
ramp_slow_mild_goldendoodle_01,2026-01-12,16.09
ramp_slow_mild_goldendoodle_01,2026-01-13,21.12
ramp_slow_mild_goldendoodle_01,2026-01-14,20.85
ramp_slow_mild_goldendoodle_01,2026-01-15,17.87
ramp_slow_mild_goldendoodle_01,2026-01-16,17.53
ramp_slow_mild_goldendoodle_01,2026-01-17,21.68
ramp_slow_mild_goldendoodle_01,2026-01-18,16.92
ramp_slow_mild_goldendoodle_01,2026-01-19,19.84
ramp_slow_mild_goldendoodle_01,2026-01-20,21.24
ramp_slow_mild_goldendoodle_01,2026-01-21,16.82
ramp_slow_mild_goldendoodle_01,2026-01-22,20.98
ramp_slow_mild_goldendoodle_01,2026-01-23,18.65
ramp_slow_mild_goldendoodle_01,2026-01-24,17.79
ramp_slow_mild_goldendoodle_01,2026-01-25,20.6
ramp_slow_mild_goldendoodle_01,2026-01-26,21.77
ramp_slow_mild_goldendoodle_01,2026-01-27,21.04
ramp_slow_mild_goldendoodle_01,2026-01-28,21.33
ramp_slow_mild_goldendoodle_01,2026-01-29,20.75
ramp_slow_mild_goldendoodle_01,2026-01-30,18.89
ramp_slow_mild_goldendoodle_01,2026-01-31,17.76
ramp_slow_mild_goldendoodle_01,2026-02-01,22.7
ramp_slow_mild_goldendoodle_01,2026-02-02,18.29
ramp_slow_mild_goldendoodle_01,2026-02-03,21.44
ramp_slow_mild_goldendoodle_01,2026-02-04,20.88
ramp_slow_mild_goldendoodle_01,2026-02-05,16.32
ramp_slow_mild_goldendoodle_01,2026-02-06,16.92
ramp_slow_mild_goldendoodle_01,2026-02-07,20.08
ramp_slow_mild_goldendoodle_01,2026-02-08,20.49
ramp_slow_mild_goldendoodle_01,2026-02-09,22.77
ramp_slow_mild_goldendoodle_01,2026-02-10,16.12
ramp_slow_mild_goldendoodle_01,2026-02-11,21.34
ramp_slow_mild_goldendoodle_01,2026-02-12,22.67
ramp_slow_mild_goldendoodle_01,2026-02-13,21.17
ramp_slow_mild_goldendoodle_01,2026-02-14,21.02
