pet_id,date,valid_wear_hours
ramp_slow_severe_maltese_01,2026-01-01,17.57
ramp_slow_severe_maltese_01,2026-01-02,18.29
ramp_slow_severe_maltese_01,2026-01-03,8.15
ramp_slow_severe_maltese_01,2026-01-04,19.47
ramp_slow_severe_maltese_01,2026-01-05,19.77
ramp_slow_severe_maltese_01,2026-01-06,20.18
ramp_slow_severe_maltese_01,2026-01-07,21.25
ramp_slow_severe_maltese_01,2026-01-08,20.34
ramp_slow_severe_maltese_01,2026-01-09,18.65
ramp_slow_severe_maltese_01,2026-01-10,13.17
ramp_slow_severe_maltese_01,2026-01-11,20.01
ramp_slow_severe_maltese_01,2026-01-12,20.26
ramp_slow_severe_maltese_01,2026-01-13,16.63
ramp_slow_severe_maltese_01,2026-01-14,20.06
ramp_slow_severe_maltese_01,2026-01-15,16.89
ramp_slow_severe_maltese_01,2026-01-16,18.9
ramp_slow_severe_maltese_01,2026-01-17,10.13
ramp_slow_severe_maltese_01,2026-01-18,16.12
ramp_slow_severe_maltese_01,2026-01-19,16.75
ramp_slow_severe_maltese_01,2026-01-20,17.52
ramp_slow_severe_maltese_01,2026-01-21,17.32
ramp_slow_severe_maltese_01,2026-01-22,22.55
ramp_slow_severe_maltese_01,2026-01-23,18.55
ramp_slow_severe_maltese_01,2026-01-24,11.92
ramp_slow_severe_maltese_01,2026-01-25,20.12
ramp_slow_severe_maltese_01,2026-01-26,18.53
ramp_slow_severe_maltese_01,2026-01-27,18.73
ramp_slow_severe_maltese_01,2026-01-28,22.19
ramp_slow_severe_maltese_01,2026-01-29,20.54
ramp_slow_severe_maltese_01,2026-01-30,20.32
ramp_slow_severe_maltese_01,2026-01-31,13.71
ramp_slow_severe_maltese_01,2026-02-01,17.21
ramp_slow_severe_maltese_01,2026-02-02,20.33
ramp_slow_severe_maltese_01,2026-02-03,22.72
ramp_slow_severe_maltese_01,2026-02-04,18.57
ramp_slow_severe_maltese_01,2026-02-05,18.6
ramp_slow_severe_maltese_01,2026-02-06,16.06
ramp_slow_severe_maltese_01,2026-02-07,9.54
ramp_slow_severe_maltese_01,2026-02-08,19.2
ramp_slow_severe_maltese_01,2026-02-09,22.13
ramp_slow_severe_maltese_01,2026-02-10,17.09
ramp_slow_severe_maltese_01,2026-02-11,22.19
ramp_slow_severe_maltese_01,2026-02-12,16.34
ramp_slow_severe_maltese_01,2026-02-13,22.81
ramp_slow_severe_maltese_01,2026-02-14,8.84
ramp_slow_severe_maltese_01,2026-02-15,22.26
ramp_slow_severe_maltese_01,2026-02-16,19.88
ramp_slow_severe_maltese_01,2026-02-17,22.15
ramp_slow_severe_maltese_01,2026-02-18,19.6
ramp_slow_severe_maltese_01,2026-02-19,16.01
