pet_id,date,valid_wear_hours
single_day_spike_conflict_goldenretriever_18,2026-01-01,22.21
single_day_spike_conflict_goldenretriever_18,2026-01-02,19.6
single_day_spike_conflict_goldenretriever_18,2026-01-03,17.42
single_day_spike_conflict_goldenretriever_18,2026-01-04,18.59
single_day_spike_conflict_goldenretriever_18,2026-01-05,21.23
single_day_spike_conflict_goldenretriever_18,2026-01-06,19.72
single_day_spike_conflict_goldenretriever_18,2026-01-07,16.07
single_day_spike_conflict_goldenretriever_18,2026-01-08,18.14
single_day_spike_conflict_goldenretriever_18,2026-01-09,22.51
single_day_spike_conflict_goldenretriever_18,2026-01-10,21.11
single_day_spike_conflict_goldenretriever_18,2026-01-11,18.59
single_day_spike_conflict_goldenretriever_18,2026-01-12,19.35
single_day_spike_conflict_goldenretriever_18,2026-01-13,21.64
single_day_spike_conflict_goldenretriever_18,2026-01-14,21.42
single_day_spike_conflict_goldenretriever_18,2026-01-15,18.78
single_day_spike_conflict_goldenretriever_18,2026-01-16,19.83
single_day_spike_conflict_goldenretriever_18,2026-01-17,17.14
single_day_spike_conflict_goldenretriever_18,2026-01-18,20.43
single_day_spike_conflict_goldenretriever_18,2026-01-19,16.09
single_day_spike_conflict_goldenretriever_18,2026-01-20,21.19
single_day_spike_conflict_goldenretriever_18,2026-01-21,17.52
single_day_spike_conflict_goldenretriever_18,2026-01-22,20.39
single_day_spike_conflict_goldenretriever_18,2026-01-23,20.8
single_day_spike_conflict_goldenretriever_18,2026-01-24,20.6
single_day_spike_conflict_goldenretriever_18,2026-01-25,21.12
single_day_spike_conflict_goldenretriever_18,2026-01-26,16.34
single_day_spike_conflict_goldenretriever_18,2026-01-27,16.42
single_day_spike_conflict_goldenretriever_18,2026-01-28,16.76
single_day_spike_conflict_goldenretriever_18,2026-01-29,19.0
single_day_spike_conflict_goldenretriever_18,2026-01-30,17.65
single_day_spike_conflict_goldenretriever_18,2026-01-31,16.8
