pet_id,date,valid_wear_hours
single_day_spike_extreme_maltese_15,2026-01-01,18.58
single_day_spike_extreme_maltese_15,2026-01-02,19.39
single_day_spike_extreme_maltese_15,2026-01-03,21.5
single_day_spike_extreme_maltese_15,2026-01-04,16.67
single_day_spike_extreme_maltese_15,2026-01-05,20.13
single_day_spike_extreme_maltese_15,2026-01-06,20.0
single_day_spike_extreme_maltese_15,2026-01-07,20.88
single_day_spike_extreme_maltese_15,2026-01-08,18.55
single_day_spike_extreme_maltese_15,2026-01-09,17.04
single_day_spike_extreme_maltese_15,2026-01-10,18.61
single_day_spike_extreme_maltese_15,2026-01-11,16.55
single_day_spike_extreme_maltese_15,2026-01-12,19.59
single_day_spike_extreme_maltese_15,2026-01-13,21.29
single_day_spike_extreme_maltese_15,2026-01-14,17.87
single_day_spike_extreme_maltese_15,2026-01-15,18.36
single_day_spike_extreme_maltese_15,2026-01-16,22.36
single_day_spike_extreme_maltese_15,2026-01-17,20.26
single_day_spike_extreme_maltese_15,2026-01-18,19.11
single_day_spike_extreme_maltese_15,2026-01-19,17.94
single_day_spike_extreme_maltese_15,2026-01-20,20.49
single_day_spike_extreme_maltese_15,2026-01-21,16.32
single_day_spike_extreme_maltese_15,2026-01-22,19.02
single_day_spike_extreme_maltese_15,2026-01-23,19.5
single_day_spike_extreme_maltese_15,2026-01-24,21.3
single_day_spike_extreme_maltese_15,2026-01-25,20.63
single_day_spike_extreme_maltese_15,2026-01-26,18.79
single_day_spike_extreme_maltese_15,2026-01-27,20.68
single_day_spike_extreme_maltese_15,2026-01-28,18.81
single_day_spike_extreme_maltese_15,2026-01-29,22.93
single_day_spike_extreme_maltese_15,2026-01-30,16.84
single_day_spike_extreme_maltese_15,2026-01-31,17.25
single_day_spike_extreme_maltese_15,2026-02-01,20.58
single_day_spike_extreme_maltese_15,2026-02-02,22.39
single_day_spike_extreme_maltese_15,2026-02-03,22.99
