pet_id,date,valid_wear_hours
single_day_spike_mild_ruralmixed_17,2026-01-01,17.11
single_day_spike_mild_ruralmixed_17,2026-01-02,21.39
single_day_spike_mild_ruralmixed_17,2026-01-03,19.85
single_day_spike_mild_ruralmixed_17,2026-01-04,22.37
single_day_spike_mild_ruralmixed_17,2026-01-05,19.55
single_day_spike_mild_ruralmixed_17,2026-01-06,18.91
single_day_spike_mild_ruralmixed_17,2026-01-07,20.72
single_day_spike_mild_ruralmixed_17,2026-01-08,19.19
single_day_spike_mild_ruralmixed_17,2026-01-09,17.72
single_day_spike_mild_ruralmixed_17,2026-01-10,22.04
single_day_spike_mild_ruralmixed_17,2026-01-11,17.19
single_day_spike_mild_ruralmixed_17,2026-01-12,22.68
single_day_spike_mild_ruralmixed_17,2026-01-13,19.8
single_day_spike_mild_ruralmixed_17,2026-01-14,22.89
single_day_spike_mild_ruralmixed_17,2026-01-15,16.78
single_day_spike_mild_ruralmixed_17,2026-01-16,17.11
single_day_spike_mild_ruralmixed_17,2026-01-17,21.17
single_day_spike_mild_ruralmixed_17,2026-01-18,18.02
single_day_spike_mild_ruralmixed_17,2026-01-19,17.92
single_day_spike_mild_ruralmixed_17,2026-01-20,18.43
single_day_spike_mild_ruralmixed_17,2026-01-21,16.58
single_day_spike_mild_ruralmixed_17,2026-01-22,16.61
single_day_spike_mild_ruralmixed_17,2026-01-23,20.99
single_day_spike_mild_ruralmixed_17,2026-01-24,21.98
single_day_spike_mild_ruralmixed_17,2026-01-25,18.2
single_day_spike_mild_ruralmixed_17,2026-01-26,19.67
single_day_spike_mild_ruralmixed_17,2026-01-27,19.92
single_day_spike_mild_ruralmixed_17,2026-01-28,19.77
single_day_spike_mild_ruralmixed_17,2026-01-29,16.61
single_day_spike_mild_ruralmixed_17,2026-01-30,22.01
