pet_id,date,valid_wear_hours
single_day_spike_moderate_goldenretriever_14,2026-01-01,22.26
single_day_spike_moderate_goldenretriever_14,2026-01-02,18.62
single_day_spike_moderate_goldenretriever_14,2026-01-03,17.36
single_day_spike_moderate_goldenretriever_14,2026-01-04,20.07
single_day_spike_moderate_goldenretriever_14,2026-01-05,19.21
single_day_spike_moderate_goldenretriever_14,2026-01-06,19.0
single_day_spike_moderate_goldenretriever_14,2026-01-07,20.04
single_day_spike_moderate_goldenretriever_14,2026-01-08,16.45
single_day_spike_moderate_goldenretriever_14,2026-01-09,16.67
single_day_spike_moderate_goldenretriever_14,2026-01-10,16.8
single_day_spike_moderate_goldenretriever_14,2026-01-11,20.33
single_day_spike_moderate_goldenretriever_14,2026-01-12,21.13
single_day_spike_moderate_goldenretriever_14,2026-01-13,16.21
single_day_spike_moderate_goldenretriever_14,2026-01-14,18.56
single_day_spike_moderate_goldenretriever_14,2026-01-15,16.8
single_day_spike_moderate_goldenretriever_14,2026-01-16,20.36
single_day_spike_moderate_goldenretriever_14,2026-01-17,18.64
single_day_spike_moderate_goldenretriever_14,2026-01-18,22.13
single_day_spike_moderate_goldenretriever_14,2026-01-19,22.96
single_day_spike_moderate_goldenretriever_14,2026-01-20,17.09
single_day_spike_moderate_goldenretriever_14,2026-01-21,20.3
single_day_spike_moderate_goldenretriever_14,2026-01-22,16.29
single_day_spike_moderate_goldenretriever_14,2026-01-23,17.36
single_day_spike_moderate_goldenretriever_14,2026-01-24,17.5
single_day_spike_moderate_goldenretriever_14,2026-01-25,16.97
single_day_spike_moderate_goldenretriever_14,2026-01-26,16.22
single_day_spike_moderate_goldenretriever_14,2026-01-27,18.72
single_day_spike_moderate_goldenretriever_14,2026-01-28,16.78
single_day_spike_moderate_goldenretriever_14,2026-01-29,19.17
single_day_spike_moderate_goldenretriever_14,2026-01-30,16.54
single_day_spike_moderate_goldenretriever_14,2026-01-31,20.52
single_day_spike_moderate_goldenretriever_14,2026-02-01,16.59
single_day_spike_moderate_goldenretriever_14,2026-02-02,22.24
