pet_id,date,valid_wear_hours
spike_recover_borderline_low_bichon_02,2026-01-01,17.12
spike_recover_borderline_low_bichon_02,2026-01-02,22.66
spike_recover_borderline_low_bichon_02,2026-01-03,20.33
spike_recover_borderline_low_bichon_02,2026-01-04,20.45
spike_recover_borderline_low_bichon_02,2026-01-05,18.64
spike_recover_borderline_low_bichon_02,2026-01-06,21.28
spike_recover_borderline_low_bichon_02,2026-01-07,20.41
spike_recover_borderline_low_bichon_02,2026-01-08,17.49
spike_recover_borderline_low_bichon_02,2026-01-09,22.15
spike_recover_borderline_low_bichon_02,2026-01-10,17.58
spike_recover_borderline_low_bichon_02,2026-01-11,21.51
spike_recover_borderline_low_bichon_02,2026-01-12,16.69
spike_recover_borderline_low_bichon_02,2026-01-13,17.08
spike_recover_borderline_low_bichon_02,2026-01-14,21.96
spike_recover_borderline_low_bichon_02,2026-01-15,16.5
spike_recover_borderline_low_bichon_02,2026-01-16,19.53
spike_recover_borderline_low_bichon_02,2026-01-17,19.37
spike_recover_borderline_low_bichon_02,2026-01-18,16.13
spike_recover_borderline_low_bichon_02,2026-01-19,16.29
spike_recover_borderline_low_bichon_02,2026-01-20,16.23
spike_recover_borderline_low_bichon_02,2026-01-21,20.68
spike_recover_borderline_low_bichon_02,2026-01-22,19.91
spike_recover_borderline_low_bichon_02,2026-01-23,17.12
spike_recover_borderline_low_bichon_02,2026-01-24,20.79
spike_recover_borderline_low_bichon_02,2026-01-25,20.96
spike_recover_borderline_low_bichon_02,2026-01-26,17.56
spike_recover_borderline_low_bichon_02,2026-01-27,21.4
spike_recover_borderline_low_bichon_02,2026-01-28,17.31
spike_recover_borderline_low_bichon_02,2026-01-29,17.05
spike_recover_borderline_low_bichon_02,2026-01-30,20.06
spike_recover_borderline_low_bichon_02,2026-01-31,20.59
spike_recover_borderline_low_bichon_02,2026-02-01,20.88
spike_recover_borderline_low_bichon_02,2026-02-02,17.27
spike_recover_borderline_low_bichon_02,2026-02-03,20.38
