pet_id,date,valid_wear_hours
spike_recover_conflicting_worse_maltese_07,2026-01-01,16.19
spike_recover_conflicting_worse_maltese_07,2026-01-02,16.39
spike_recover_conflicting_worse_maltese_07,2026-01-03,22.83
spike_recover_conflicting_worse_maltese_07,2026-01-04,20.83
spike_recover_conflicting_worse_maltese_07,2026-01-05,20.81
spike_recover_conflicting_worse_maltese_07,2026-01-06,16.83
spike_recover_conflicting_worse_maltese_07,2026-01-07,18.2
spike_recover_conflicting_worse_maltese_07,2026-01-08,20.69
spike_recover_conflicting_worse_maltese_07,2026-01-09,21.63
spike_recover_conflicting_worse_maltese_07,2026-01-10,19.96
spike_recover_conflicting_worse_maltese_07,2026-01-11,19.15
spike_recover_conflicting_worse_maltese_07,2026-01-12,20.79
spike_recover_conflicting_worse_maltese_07,2026-01-13,20.93
spike_recover_conflicting_worse_maltese_07,2026-01-14,22.43
spike_recover_conflicting_worse_maltese_07,2026-01-15,19.23
spike_recover_conflicting_worse_maltese_07,2026-01-16,22.39
spike_recover_conflicting_worse_maltese_07,2026-01-17,20.9
spike_recover_conflicting_worse_maltese_07,2026-01-18,16.99
spike_recover_conflicting_worse_maltese_07,2026-01-19,17.48
spike_recover_conflicting_worse_maltese_07,2026-01-20,21.35
spike_recover_conflicting_worse_maltese_07,2026-01-21,22.24
spike_recover_conflicting_worse_maltese_07,2026-01-22,20.83
spike_recover_conflicting_worse_maltese_07,2026-01-23,20.45
spike_recover_conflicting_worse_maltese_07,2026-01-24,22.88
spike_recover_conflicting_worse_maltese_07,2026-01-25,18.85
spike_recover_conflicting_worse_maltese_07,2026-01-26,22.05
spike_recover_conflicting_worse_maltese_07,2026-01-27,22.16
spike_recover_conflicting_worse_maltese_07,2026-01-28,19.44
spike_recover_conflicting_worse_maltese_07,2026-01-29,22.02
spike_recover_conflicting_worse_maltese_07,2026-01-30,21.08
spike_recover_conflicting_worse_maltese_07,2026-01-31,19.28
spike_recover_conflicting_worse_maltese_07,2026-02-01,20.5
spike_recover_conflicting_worse_maltese_07,2026-02-02,19.38
spike_recover_conflicting_worse_maltese_07,2026-02-03,18.28
spike_recover_conflicting_worse_maltese_07,2026-02-04,21.56
spike_recover_conflicting_worse_maltese_07,2026-02-05,22.73
