pet_id,date,valid_wear_hours
spike_recover_fast_taper_goldenretriever_06,2026-01-01,16.89
spike_recover_fast_taper_goldenretriever_06,2026-01-02,18.64
spike_recover_fast_taper_goldenretriever_06,2026-01-03,19.43
spike_recover_fast_taper_goldenretriever_06,2026-01-04,22.0
spike_recover_fast_taper_goldenretriever_06,2026-01-05,20.47
spike_recover_fast_taper_goldenretriever_06,2026-01-06,18.48
spike_recover_fast_taper_goldenretriever_06,2026-01-07,19.55
spike_recover_fast_taper_goldenretriever_06,2026-01-08,18.29
spike_recover_fast_taper_goldenretriever_06,2026-01-09,16.7
spike_recover_fast_taper_goldenretriever_06,2026-01-10,20.71
spike_recover_fast_taper_goldenretriever_06,2026-01-11,20.58
spike_recover_fast_taper_goldenretriever_06,2026-01-12,16.42
spike_recover_fast_taper_goldenretriever_06,2026-01-13,21.35
spike_recover_fast_taper_goldenretriever_06,2026-01-14,22.12
spike_recover_fast_taper_goldenretriever_06,2026-01-15,20.56
spike_recover_fast_taper_goldenretriever_06,2026-01-16,18.32
spike_recover_fast_taper_goldenretriever_06,2026-01-17,22.41
spike_recover_fast_taper_goldenretriever_06,2026-01-18,21.97
spike_recover_fast_taper_goldenretriever_06,2026-01-19,22.41
spike_recover_fast_taper_goldenretriever_06,2026-01-20,19.99
spike_recover_fast_taper_goldenretriever_06,2026-01-21,20.38
spike_recover_fast_taper_goldenretriever_06,2026-01-22,21.62
spike_recover_fast_taper_goldenretriever_06,2026-01-23,17.37
spike_recover_fast_taper_goldenretriever_06,2026-01-24,22.92
spike_recover_fast_taper_goldenretriever_06,2026-01-25,18.28
spike_recover_fast_taper_goldenretriever_06,2026-01-26,17.21
spike_recover_fast_taper_goldenretriever_06,2026-01-27,16.09
spike_recover_fast_taper_goldenretriever_06,2026-01-28,20.84
spike_recover_fast_taper_goldenretriever_06,2026-01-29,16.26
spike_recover_fast_taper_goldenretriever_06,2026-01-30,20.39
spike_recover_fast_taper_goldenretriever_06,2026-01-31,18.18
spike_recover_fast_taper_goldenretriever_06,2026-02-01,16.62
