pet_id,date,valid_wear_hours
spike_recover_loose_wear_ruralmixed_08,2026-01-01,18.66
spike_recover_loose_wear_ruralmixed_08,2026-01-02,22.09
spike_recover_loose_wear_ruralmixed_08,2026-01-03,13.32
spike_recover_loose_wear_ruralmixed_08,2026-01-04,22.91
spike_recover_loose_wear_ruralmixed_08,2026-01-05,18.81
spike_recover_loose_wear_ruralmixed_08,2026-01-06,20.1
spike_recover_loose_wear_ruralmixed_08,2026-01-07,16.09
spike_recover_loose_wear_ruralmixed_08,2026-01-08,19.08
spike_recover_loose_wear_ruralmixed_08,2026-01-09,21.82
spike_recover_loose_wear_ruralmixed_08,2026-01-10,8.31
spike_recover_loose_wear_ruralmixed_08,2026-01-11,17.7
spike_recover_loose_wear_ruralmixed_08,2026-01-12,22.51
spike_recover_loose_wear_ruralmixed_08,2026-01-13,22.08
spike_recover_loose_wear_ruralmixed_08,2026-01-14,20.95
spike_recover_loose_wear_ruralmixed_08,2026-01-15,19.73
spike_recover_loose_wear_ruralmixed_08,2026-01-16,19.12
spike_recover_loose_wear_ruralmixed_08,2026-01-17,9.66
spike_recover_loose_wear_ruralmixed_08,2026-01-18,21.44
spike_recover_loose_wear_ruralmixed_08,2026-01-19,18.64
spike_recover_loose_wear_ruralmixed_08,2026-01-20,22.05
spike_recover_loose_wear_ruralmixed_08,2026-01-21,22.3
spike_recover_loose_wear_ruralmixed_08,2026-01-22,21.99
spike_recover_loose_wear_ruralmixed_08,2026-01-23,22.42
spike_recover_loose_wear_ruralmixed_08,2026-01-24,10.78
spike_recover_loose_wear_ruralmixed_08,2026-01-25,16.49
spike_recover_loose_wear_ruralmixed_08,2026-01-26,20.94
spike_recover_loose_wear_ruralmixed_08,2026-01-27,18.24
spike_recover_loose_wear_ruralmixed_08,2026-01-28,19.83
spike_recover_loose_wear_ruralmixed_08,2026-01-29,19.55
spike_recover_loose_wear_ruralmixed_08,2026-01-30,19.79
spike_recover_loose_wear_ruralmixed_08,2026-01-31,10.12
spike_recover_loose_wear_ruralmixed_08,2026-02-01,17.2
spike_recover_loose_wear_ruralmixed_08,2026-02-02,22.66
spike_recover_loose_wear_ruralmixed_08,2026-02-03,18.16
spike_recover_loose_wear_ruralmixed_08,2026-02-04,19.54
spike_recover_loose_wear_ruralmixed_08,2026-02-05,21.26
spike_recover_loose_wear_ruralmixed_08,2026-02-06,22.18
spike_recover_loose_wear_ruralmixed_08,2026-02-07,12.14
spike_recover_loose_wear_ruralmixed_08,2026-02-08,18.28
spike_recover_loose_wear_ruralmixed_08,2026-02-09,21.16
spike_recover_loose_wear_ruralmixed_08,2026-02-10,16.87
spike_recover_loose_wear_ruralmixed_08,2026-02-11,22.81
