pet_id,date,valid_wear_hours
spike_recover_mild_goldenretriever_01,2026-01-01,21.33
spike_recover_mild_goldenretriever_01,2026-01-02,16.38
spike_recover_mild_goldenretriever_01,2026-01-03,18.25
spike_recover_mild_goldenretriever_01,2026-01-04,18.79
spike_recover_mild_goldenretriever_01,2026-01-05,22.92
spike_recover_mild_goldenretriever_01,2026-01-06,18.25
spike_recover_mild_goldenretriever_01,2026-01-07,16.31
spike_recover_mild_goldenretriever_01,2026-01-08,18.98
spike_recover_mild_goldenretriever_01,2026-01-09,20.62
spike_recover_mild_goldenretriever_01,2026-01-10,22.24
spike_recover_mild_goldenretriever_01,2026-01-11,19.91
spike_recover_mild_goldenretriever_01,2026-01-12,16.17
spike_recover_mild_goldenretriever_01,2026-01-13,16.48
spike_recover_mild_goldenretriever_01,2026-01-14,18.48
spike_recover_mild_goldenretriever_01,2026-01-15,18.91
spike_recover_mild_goldenretriever_01,2026-01-16,18.13
spike_recover_mild_goldenretriever_01,2026-01-17,22.58
spike_recover_mild_goldenretriever_01,2026-01-18,18.38
spike_recover_mild_goldenretriever_01,2026-01-19,21.46
spike_recover_mild_goldenretriever_01,2026-01-20,20.28
spike_recover_mild_goldenretriever_01,2026-01-21,20.76
spike_recover_mild_goldenretriever_01,2026-01-22,18.7
spike_recover_mild_goldenretriever_01,2026-01-23,19.86
spike_recover_mild_goldenretriever_01,2026-01-24,18.87
spike_recover_mild_goldenretriever_01,2026-01-25,22.67
spike_recover_mild_goldenretriever_01,2026-01-26,17.37
spike_recover_mild_goldenretriever_01,2026-01-27,16.13
spike_recover_mild_goldenretriever_01,2026-01-28,22.38
spike_recover_mild_goldenretriever_01,2026-01-29,16.69
spike_recover_mild_goldenretriever_01,2026-01-30,19.99
spike_recover_mild_goldenretriever_01,2026-01-31,17.72
spike_recover_mild_goldenretriever_01,2026-02-01,17.86
spike_recover_mild_goldenretriever_01,2026-02-02,22.19
spike_recover_mild_goldenretriever_01,2026-02-03,17.82
spike_recover_mild_goldenretriever_01,2026-02-04,17.22
