pet_id,date,valid_wear_hours
spike_recover_moderate_bichon_03,2026-01-01,17.02
spike_recover_moderate_bichon_03,2026-01-02,20.27
spike_recover_moderate_bichon_03,2026-01-03,21.36
spike_recover_moderate_bichon_03,2026-01-04,16.2
spike_recover_moderate_bichon_03,2026-01-05,19.07
spike_recover_moderate_bichon_03,2026-01-06,16.25
spike_recover_moderate_bichon_03,2026-01-07,18.48
spike_recover_moderate_bichon_03,2026-01-08,19.32
spike_recover_moderate_bichon_03,2026-01-09,17.16
spike_recover_moderate_bichon_03,2026-01-10,21.94
spike_recover_moderate_bichon_03,2026-01-11,17.93
spike_recover_moderate_bichon_03,2026-01-12,22.77
spike_recover_moderate_bichon_03,2026-01-13,16.7
spike_recover_moderate_bichon_03,2026-01-14,19.2
spike_recover_moderate_bichon_03,2026-01-15,18.74
spike_recover_moderate_bichon_03,2026-01-16,17.48
spike_recover_moderate_bichon_03,2026-01-17,21.9
spike_recover_moderate_bichon_03,2026-01-18,22.92
spike_recover_moderate_bichon_03,2026-01-19,16.96
spike_recover_moderate_bichon_03,2026-01-20,17.47
spike_recover_moderate_bichon_03,2026-01-21,22.25
spike_recover_moderate_bichon_03,2026-01-22,21.42
spike_recover_moderate_bichon_03,2026-01-23,16.67
spike_recover_moderate_bichon_03,2026-01-24,21.67
spike_recover_moderate_bichon_03,2026-01-25,18.45
spike_recover_moderate_bichon_03,2026-01-26,21.48
spike_recover_moderate_bichon_03,2026-01-27,17.65
spike_recover_moderate_bichon_03,2026-01-28,17.05
spike_recover_moderate_bichon_03,2026-01-29,17.87
spike_recover_moderate_bichon_03,2026-01-30,16.71
spike_recover_moderate_bichon_03,2026-01-31,20.28
spike_recover_moderate_bichon_03,2026-02-01,21.44
spike_recover_moderate_bichon_03,2026-02-02,17.42
spike_recover_moderate_bichon_03,2026-02-03,17.42
spike_recover_moderate_bichon_03,2026-02-04,16.51
spike_recover_moderate_bichon_03,2026-02-05,21.5
spike_recover_moderate_bichon_03,2026-02-06,22.12
spike_recover_moderate_bichon_03,2026-02-07,16.79
