pet_id,date,valid_wear_hours
spike_recover_severe_maltese_04,2026-01-01,16.95
spike_recover_severe_maltese_04,2026-01-02,20.16
spike_recover_severe_maltese_04,2026-01-03,22.49
spike_recover_severe_maltese_04,2026-01-04,22.04
spike_recover_severe_maltese_04,2026-01-05,19.38
spike_recover_severe_maltese_04,2026-01-06,18.03
spike_recover_severe_maltese_04,2026-01-07,18.46
spike_recover_severe_maltese_04,2026-01-08,20.1
spike_recover_severe_maltese_04,2026-01-09,21.65
spike_recover_severe_maltese_04,2026-01-10,21.39
spike_recover_severe_maltese_04,2026-01-11,18.75
spike_recover_severe_maltese_04,2026-01-12,21.9
spike_recover_severe_maltese_04,2026-01-13,21.68
spike_recover_severe_maltese_04,2026-01-14,21.13
spike_recover_severe_maltese_04,2026-01-15,21.31
spike_recover_severe_maltese_04,2026-01-16,17.78
spike_recover_severe_maltese_04,2026-01-17,18.68
spike_recover_severe_maltese_04,2026-01-18,16.99
spike_recover_severe_maltese_04,2026-01-19,20.29
spike_recover_severe_maltese_04,2026-01-20,16.5
spike_recover_severe_maltese_04,2026-01-21,16.19
spike_recover_severe_maltese_04,2026-01-22,20.38
spike_recover_severe_maltese_04,2026-01-23,21.68
spike_recover_severe_maltese_04,2026-01-24,20.33
spike_recover_severe_maltese_04,2026-01-25,20.2
spike_recover_severe_maltese_04,2026-01-26,16.29
spike_recover_severe_maltese_04,2026-01-27,21.12
spike_recover_severe_maltese_04,2026-01-28,22.1
spike_recover_severe_maltese_04,2026-01-29,22.11
spike_recover_severe_maltese_04,2026-01-30,21.69
spike_recover_severe_maltese_04,2026-01-31,22.57
spike_recover_severe_maltese_04,2026-02-01,17.5
spike_recover_severe_maltese_04,2026-02-02,22.92
spike_recover_severe_maltese_04,2026-02-03,21.27
spike_recover_severe_maltese_04,2026-02-04,19.04
spike_recover_severe_maltese_04,2026-02-05,16.91
spike_recover_severe_maltese_04,2026-02-06,21.0
spike_recover_severe_maltese_04,2026-02-07,20.01
spike_recover_severe_maltese_04,2026-02-08,18.15
spike_recover_severe_maltese_04,2026-02-09,19.98
