pet_id,date,valid_wear_hours
spike_recover_slow_taper_ruralmixed_05,2026-01-01,7.13
spike_recover_slow_taper_ruralmixed_05,2026-01-02,16.1
spike_recover_slow_taper_ruralmixed_05,2026-01-03,19.09
spike_recover_slow_taper_ruralmixed_05,2026-01-04,17.57
spike_recover_slow_taper_ruralmixed_05,2026-01-05,16.27
spike_recover_slow_taper_ruralmixed_05,2026-01-06,7.09
spike_recover_slow_taper_ruralmixed_05,2026-01-07,17.23
spike_recover_slow_taper_ruralmixed_05,2026-01-08,20.23
spike_recover_slow_taper_ruralmixed_05,2026-01-09,22.58
spike_recover_slow_taper_ruralmixed_05,2026-01-10,16.44
spike_recover_slow_taper_ruralmixed_05,2026-01-11,2.38
spike_recover_slow_taper_ruralmixed_05,2026-01-12,17.69
spike_recover_slow_taper_ruralmixed_05,2026-01-13,22.79
spike_recover_slow_taper_ruralmixed_05,2026-01-14,16.06
spike_recover_slow_taper_ruralmixed_05,2026-01-15,22.64
spike_recover_slow_taper_ruralmixed_05,2026-01-16,7.84
spike_recover_slow_taper_ruralmixed_05,2026-01-17,22.14
spike_recover_slow_taper_ruralmixed_05,2026-01-18,20.21
spike_recover_slow_taper_ruralmixed_05,2026-01-19,20.16
spike_recover_slow_taper_ruralmixed_05,2026-01-20,18.41
spike_recover_slow_taper_ruralmixed_05,2026-01-21,6.02
spike_recover_slow_taper_ruralmixed_05,2026-01-22,21.3
spike_recover_slow_taper_ruralmixed_05,2026-01-23,18.94
spike_recover_slow_taper_ruralmixed_05,2026-01-24,17.26
spike_recover_slow_taper_ruralmixed_05,2026-01-25,21.92
spike_recover_slow_taper_ruralmixed_05,2026-01-26,2.55
spike_recover_slow_taper_ruralmixed_05,2026-01-27,19.46
spike_recover_slow_taper_ruralmixed_05,2026-01-28,18.17
spike_recover_slow_taper_ruralmixed_05,2026-01-29,17.74
spike_recover_slow_taper_ruralmixed_05,2026-01-30,16.39
spike_recover_slow_taper_ruralmixed_05,2026-01-31,6.35
spike_recover_slow_taper_ruralmixed_05,2026-02-01,20.06
spike_recover_slow_taper_ruralmixed_05,2026-02-02,16.49
spike_recover_slow_taper_ruralmixed_05,2026-02-03,18.98
spike_recover_slow_taper_ruralmixed_05,2026-02-04,22.5
spike_recover_slow_taper_ruralmixed_05,2026-02-05,3.08
spike_recover_slow_taper_ruralmixed_05,2026-02-06,18.06
spike_recover_slow_taper_ruralmixed_05,2026-02-07,19.82
spike_recover_slow_taper_ruralmixed_05,2026-02-08,22.37
spike_recover_slow_taper_ruralmixed_05,2026-02-09,18.74
spike_recover_slow_taper_ruralmixed_05,2026-02-10,2.03
spike_recover_slow_taper_ruralmixed_05,2026-02-11,22.43
spike_recover_slow_taper_ruralmixed_05,2026-02-12,20.85
spike_recover_slow_taper_ruralmixed_05,2026-02-13,19.2
spike_recover_slow_taper_ruralmixed_05,2026-02-14,22.46
