pet_id,date,valid_wear_hours
stable_high_baseline_goldendoodle_03,2026-01-01,22.3
stable_high_baseline_goldendoodle_03,2026-01-02,20.59
stable_high_baseline_goldendoodle_03,2026-01-03,21.51
stable_high_baseline_goldendoodle_03,2026-01-04,16.85
stable_high_baseline_goldendoodle_03,2026-01-05,20.1
stable_high_baseline_goldendoodle_03,2026-01-06,20.82
stable_high_baseline_goldendoodle_03,2026-01-07,17.28
stable_high_baseline_goldendoodle_03,2026-01-08,19.61
stable_high_baseline_goldendoodle_03,2026-01-09,16.41
stable_high_baseline_goldendoodle_03,2026-01-10,16.89
stable_high_baseline_goldendoodle_03,2026-01-11,21.36
stable_high_baseline_goldendoodle_03,2026-01-12,20.08
stable_high_baseline_goldendoodle_03,2026-01-13,22.37
stable_high_baseline_goldendoodle_03,2026-01-14,22.7
stable_high_baseline_goldendoodle_03,2026-01-15,17.79
stable_high_baseline_goldendoodle_03,2026-01-16,19.05
stable_high_baseline_goldendoodle_03,2026-01-17,22.41
stable_high_baseline_goldendoodle_03,2026-01-18,16.9
stable_high_baseline_goldendoodle_03,2026-01-19,17.02
stable_high_baseline_goldendoodle_03,2026-01-20,22.43
stable_high_baseline_goldendoodle_03,2026-01-21,22.55
stable_high_baseline_goldendoodle_03,2026-01-22,18.08
stable_high_baseline_goldendoodle_03,2026-01-23,18.26
stable_high_baseline_goldendoodle_03,2026-01-24,18.89
stable_high_baseline_goldendoodle_03,2026-01-25,19.96
stable_high_baseline_goldendoodle_03,2026-01-26,16.27
stable_high_baseline_goldendoodle_03,2026-01-27,18.05
stable_high_baseline_goldendoodle_03,2026-01-28,16.33
stable_high_baseline_goldendoodle_03,2026-01-29,16.38
stable_high_baseline_goldendoodle_03,2026-01-30,22.82
stable_high_baseline_goldendoodle_03,2026-01-31,19.11
stable_high_baseline_goldendoodle_03,2026-02-01,21.83
stable_high_baseline_goldendoodle_03,2026-02-02,19.88
stable_high_baseline_goldendoodle_03,2026-02-03,16.6
stable_high_baseline_goldendoodle_03,2026-02-04,18.77
stable_high_baseline_goldendoodle_03,2026-02-05,17.22
stable_high_baseline_goldendoodle_03,2026-02-06,18.38
stable_high_baseline_goldendoodle_03,2026-02-07,17.11
stable_high_baseline_goldendoodle_03,2026-02-08,18.4
stable_high_baseline_goldendoodle_03,2026-02-09,19.03
