pet_id,date,valid_wear_hours
stable_low_baseline_tibetan_02,2026-01-01,22.6
stable_low_baseline_tibetan_02,2026-01-02,18.12
stable_low_baseline_tibetan_02,2026-01-03,18.63
stable_low_baseline_tibetan_02,2026-01-04,18.23
stable_low_baseline_tibetan_02,2026-01-05,22.94
stable_low_baseline_tibetan_02,2026-01-06,16.42
stable_low_baseline_tibetan_02,2026-01-07,22.44
stable_low_baseline_tibetan_02,2026-01-08,19.93
stable_low_baseline_tibetan_02,2026-01-09,16.21
stable_low_baseline_tibetan_02,2026-01-10,19.81
stable_low_baseline_tibetan_02,2026-01-11,18.17
stable_low_baseline_tibetan_02,2026-01-12,22.64
stable_low_baseline_tibetan_02,2026-01-13,22.04
stable_low_baseline_tibetan_02,2026-01-14,21.77
stable_low_baseline_tibetan_02,2026-01-15,18.27
stable_low_baseline_tibetan_02,2026-01-16,22.14
stable_low_baseline_tibetan_02,2026-01-17,17.21
stable_low_baseline_tibetan_02,2026-01-18,16.14
stable_low_baseline_tibetan_02,2026-01-19,20.2
stable_low_baseline_tibetan_02,2026-01-20,17.65
stable_low_baseline_tibetan_02,2026-01-21,17.73
stable_low_baseline_tibetan_02,2026-01-22,16.78
stable_low_baseline_tibetan_02,2026-01-23,21.52
stable_low_baseline_tibetan_02,2026-01-24,17.43
stable_low_baseline_tibetan_02,2026-01-25,20.36
stable_low_baseline_tibetan_02,2026-01-26,22.77
stable_low_baseline_tibetan_02,2026-01-27,16.52
stable_low_baseline_tibetan_02,2026-01-28,22.04
stable_low_baseline_tibetan_02,2026-01-29,21.02
stable_low_baseline_tibetan_02,2026-01-30,17.61
stable_low_baseline_tibetan_02,2026-01-31,17.86
stable_low_baseline_tibetan_02,2026-02-01,20.48
stable_low_baseline_tibetan_02,2026-02-02,17.09
stable_low_baseline_tibetan_02,2026-02-03,17.3
stable_low_baseline_tibetan_02,2026-02-04,16.9
